imageURNList	folioURN
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454	urn:cite:botcar:CatesbyHS212.045
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454-corr	urn:cite:botcar:CatesbyHS212.045
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_046_0471	urn:cite:botcar:CatesbyHS212.046
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_046_0471-corr	urn:cite:botcar:CatesbyHS212.046
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470	urn:cite:botcar:CatesbyHS212.047
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470-corr	urn:cite:botcar:CatesbyHS212.047
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462	urn:cite:botcar:CatesbyHS212.048
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462-corr	urn:cite:botcar:CatesbyHS212.048
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461	urn:cite:botcar:CatesbyHS212.049
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461-corr	urn:cite:botcar:CatesbyHS212.049
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469	urn:cite:botcar:CatesbyHS212.050
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469-corr	urn:cite:botcar:CatesbyHS212.050
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468	urn:cite:botcar:CatesbyHS212.051
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468-corr	urn:cite:botcar:CatesbyHS212.051
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_052_0467	urn:cite:botcar:CatesbyHS212.052
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_052_0467-corr	urn:cite:botcar:CatesbyHS212.052
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458	urn:cite:botcar:CatesbyHS212.053
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458-corr	urn:cite:botcar:CatesbyHS212.053
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459	urn:cite:botcar:CatesbyHS212.054
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0460	urn:cite:botcar:CatesbyHS212.054
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459-corr	urn:cite:botcar:CatesbyHS212.054
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_055_0465	urn:cite:botcar:CatesbyHS212.055
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_055_0465-corr	urn:cite:botcar:CatesbyHS212.055
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_056_0466	urn:cite:botcar:CatesbyHS212.056
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_056_0466-corr	urn:cite:botcar:CatesbyHS212.056
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437	urn:cite:botcar:CatesbyHS212.057
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437-corr	urn:cite:botcar:CatesbyHS212.057
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058a_0436	urn:cite:botcar:CatesbyHS212.058a
