URN	folioURN
urn:cite:botcar:catesbyLabels.penLabel286.1	urn:cite:fufolio:CatesbyHS212.030
urn:cite:botcar:catesbyLabels.penLabel24.1	urn:cite:fufolio:CatesbyHS212.041
urn:cite:botcar:catesbyLabels.penLabel160.1	urn:cite:fufolio:CatesbyHS212.018
urn:cite:botcar:catesbyLabels.penLabel393.1	urn:cite:fufolio:CatesbyHS212.010
urn:cite:botcar:catesbyLabels.penLabel367.1	urn:cite:fufolio:CatesbyHS232.030
urn:cite:botcar:catesbyLabels.penLabel334.1	urn:cite:fufolio:CatesbyHS212.043
urn:cite:botcar:catesbyLabels.penLabel352.1	urn:cite:fufolio:CatesbyHS212.050
urn:cite:botcar:catesbyLabels.penLabel83.1	urn:cite:fufolio:CatesbyHS212.035
urn:cite:botcar:catesbyLabels.penLabel132.1	urn:cite:fufolio:CatesbyHS212.034
urn:cite:botcar:catesbyLabels.penLabel259.1	urn:cite:fufolio:CatesbyHS212.050
urn:cite:botcar:catesbyLabels.penLabel232.1	urn:cite:fufolio:CatesbyHS212.060
urn:cite:botcar:catesbyLabels.penLabel372.1	urn:cite:fufolio:CatesbyHS212.014
urn:cite:botcar:catesbyLabels.penLabel246.1	urn:cite:fufolio:CatesbyHS212.036
urn:cite:botcar:catesbyLabels.penLabel242.1	urn:cite:fufolio:CatesbyHS232.065
urn:cite:botcar:catesbyLabels.penLabel324.1	urn:cite:fufolio:CatesbyHS232.083
urn:cite:botcar:catesbyLabels.penLabel273.1	urn:cite:fufolio:CatesbyHS232.122
urn:cite:botcar:catesbyLabels.penLabel387.1	urn:cite:fufolio:CatesbyHS212.008
urn:cite:botcar:catesbyLabels.penLabel239.1	urn:cite:fufolio:CatesbyHS232.093
urn:cite:botcar:catesbyLabels.penLabel105.1	urn:cite:fufolio:CatesbyHS232.094
urn:cite:botcar:catesbyLabels.penLabel166.1	urn:cite:fufolio:CatesbyHS232.101
urn:cite:botcar:catesbyLabels.penLabel47.1	urn:cite:fufolio:CatesbyHS212.016
urn:cite:botcar:catesbyLabels.penLabel82.1	urn:cite:fufolio:CatesbyHS212.031
urn:cite:botcar:catesbyLabels.penLabel388.1	urn:cite:fufolio:CatesbyHS212.007
