labelURN	specimenURN
urn:cite:botcar:catesbyLabels.penLabel351.1	urn:cite:botcar:sloane.351
urn:cite:botcar:catesbyLabels.penLabel331.1	urn:cite:botcar:sloane.331
urn:cite:botcar:catesbyLabels.penLabel265.1	urn:cite:botcar:sloane.265
urn:cite:botcar:catesbyLabels.penLabel356.1	urn:cite:botcar:sloane.356
urn:cite:botcar:catesbyLabels.penLabel407.1	urn:cite:botcar:sloane.407
urn:cite:botcar:catesbyLabels.penLabel30.1	urn:cite:botcar:sloane.30
urn:cite:botcar:catesbyLabels.penLabel147.1	urn:cite:botcar:sloane.147
urn:cite:botcar:catesbyLabels.penLabel182.1	urn:cite:botcar:sloane.182
urn:cite:botcar:catesbyLabels.penLabel63.1	urn:cite:botcar:sloane.63
urn:cite:botcar:catesbyLabels.penLabel377.1	urn:cite:botcar:sloane.377
urn:cite:botcar:catesbyLabels.penLabel179.1	urn:cite:botcar:sloane.179
urn:cite:botcar:catesbyLabels.penLabel184.1	urn:cite:botcar:sloane.184
urn:cite:botcar:catesbyLabels.penLabel16.1	urn:cite:botcar:sloane.16
urn:cite:botcar:catesbyLabels.penLabel375.1	urn:cite:botcar:sloane.375
urn:cite:botcar:catesbyLabels.penLabel218.1	urn:cite:botcar:sloane.218
urn:cite:botcar:catesbyLabels.penLabel336.1	urn:cite:botcar:sloane.336
urn:cite:botcar:catesbyLabels.penLabel270.1	urn:cite:botcar:sloane.270
urn:cite:botcar:catesbyLabels.penLabel13.1	urn:cite:botcar:sloane.13
urn:cite:botcar:catesbyLabels.penLabel23.1	urn:cite:botcar:sloane.23
urn:cite:botcar:catesbyLabels.penLabel298.1	urn:cite:botcar:sloane.298
urn:cite:botcar:catesbyLabels.penLabel11.1	urn:cite:botcar:sloane.11
urn:cite:botcar:catesbyLabels.penLabel171.1	urn:cite:botcar:sloane.171
urn:cite:botcar:catesbyLabels.penLabel74.1	urn:cite:botcar:sloane.74
urn:cite:botcar:catesbyLabels.penLabel43.1	urn:cite:botcar:sloane.43
urn:cite:botcar:catesbyLabels.penLabel72.1	urn:cite:botcar:sloane.72
urn:cite:botcar:catesbyLabels.penLabel253.1	urn:cite:botcar:sloane.253
urn:cite:botcar:catesbyLabels.penLabel414.1	urn:cite:botcar:sloane.414
urn:cite:botcar:catesbyLabels.penLabel87.1	urn:cite:botcar:sloane.87
urn:cite:botcar:catesbyLabels.penLabel266.1	urn:cite:botcar:sloane.266
urn:cite:botcar:catesbyLabels.penLabel101.1	urn:cite:botcar:sloane.101
urn:cite:botcar:catesbyLabels.penLabel185.1	urn:cite:botcar:sloane.185
urn:cite:botcar:catesbyLabels.penLabel118.1	urn:cite:botcar:sloane.118
urn:cite:botcar:catesbyLabels.penLabel281.1	urn:cite:botcar:sloane.281
urn:cite:botcar:catesbyLabels.penLabel81.1	urn:cite:botcar:sloane.81
urn:cite:botcar:catesbyLabels.penLabel71.1	urn:cite:botcar:sloane.71
urn:cite:botcar:catesbyLabels.penLabel76.1	urn:cite:botcar:sloane.76
urn:cite:botcar:catesbyLabels.penLabel359.1	urn:cite:botcar:sloane.359
urn:cite:botcar:catesbyLabels.penLabel181.1	urn:cite:botcar:sloane.181
urn:cite:botcar:catesbyLabels.penLabel176.1	urn:cite:botcar:sloane.176
urn:cite:botcar:catesbyLabels.penLabel216.1	urn:cite:botcar:sloane.216
urn:cite:botcar:catesbyLabels.penLabel288.1	urn:cite:botcar:sloane.288
urn:cite:botcar:catesbyLabels.penLabel286.1	urn:cite:botcar:sloane.286
urn:cite:botcar:catesbyLabels.penLabel24.1	urn:cite:botcar:sloane.24
urn:cite:botcar:catesbyLabels.penLabel160.1	urn:cite:botcar:sloane.160
urn:cite:botcar:catesbyLabels.penLabel393.1	urn:cite:botcar:sloane.393
urn:cite:botcar:catesbyLabels.penLabel367.1	urn:cite:botcar:sloane.367
urn:cite:botcar:catesbyLabels.penLabel334.1	urn:cite:botcar:sloane.334
urn:cite:botcar:catesbyLabels.penLabel352.1	urn:cite:botcar:sloane.352
urn:cite:botcar:catesbyLabels.penLabel83.1	urn:cite:botcar:sloane.83
urn:cite:botcar:catesbyLabels.penLabel132.1	urn:cite:botcar:sloane.132
urn:cite:botcar:catesbyLabels.penLabel259.1	urn:cite:botcar:sloane.259
urn:cite:botcar:catesbyLabels.penLabel232.1	urn:cite:botcar:sloane.232
urn:cite:botcar:catesbyLabels.penLabel372.1	urn:cite:botcar:sloane.372
urn:cite:botcar:catesbyLabels.penLabel246.1	urn:cite:botcar:sloane.246
urn:cite:botcar:catesbyLabels.penLabel242.1	urn:cite:botcar:sloane.242
urn:cite:botcar:catesbyLabels.penLabel324.1	urn:cite:botcar:sloane.324
urn:cite:botcar:catesbyLabels.penLabel273.1	urn:cite:botcar:sloane.273
urn:cite:botcar:catesbyLabels.penLabel387.1	urn:cite:botcar:sloane.387
urn:cite:botcar:catesbyLabels.penLabel239.1	urn:cite:botcar:sloane.239
urn:cite:botcar:catesbyLabels.penLabel105.1	urn:cite:botcar:sloane.105
urn:cite:botcar:catesbyLabels.penLabel166.1	urn:cite:botcar:sloane.166
urn:cite:botcar:catesbyLabels.penLabel47.1	urn:cite:botcar:sloane.47
urn:cite:botcar:catesbyLabels.penLabel82.1	urn:cite:botcar:sloane.82
urn:cite:botcar:catesbyLabels.penLabel388.1	urn:cite:botcar:sloane.388
urn:cite:botcar:catesbyLabels.penLabel190.1	urn:cite:botcar:sloane.190
urn:cite:botcar:catesbyLabels.penLabel192.1	urn:cite:botcar:sloane.192
urn:cite:botcar:catesbyLabels.penLabel412.1	urn:cite:botcar:sloane.412
urn:cite:botcar:catesbyLabels.penLabel402.1	urn:cite:botcar:sloane.402
urn:cite:botcar:catesbyLabels.penLabel231.1	urn:cite:botcar:sloane.231
urn:cite:botcar:catesbyLabels.penLabel21.1	urn:cite:botcar:sloane.21
urn:cite:botcar:catesbyLabels.penLabel409.1	urn:cite:botcar:sloane.409
urn:cite:botcar:catesbyLabels.penLabel238.1	urn:cite:botcar:sloane.238
urn:cite:botcar:catesbyLabels.penLabel364.1	urn:cite:botcar:sloane.364
urn:cite:botcar:catesbyLabels.penLabel262.1	urn:cite:botcar:sloane.262
urn:cite:botcar:catesbyLabels.penLabel347.1	urn:cite:botcar:sloane.347
urn:cite:botcar:catesbyLabels.penLabel280.1	urn:cite:botcar:sloane.280
urn:cite:botcar:catesbyLabels.penLabel117.1	urn:cite:botcar:sloane.117
urn:cite:botcar:catesbyLabels.penLabel243.1	urn:cite:botcar:sloane.243
urn:cite:botcar:catesbyLabels.penLabel389.1	urn:cite:botcar:sloane.389
urn:cite:botcar:catesbyLabels.penLabel211.1	urn:cite:botcar:sloane.211
urn:cite:botcar:catesbyLabels.penLabel224.1	urn:cite:botcar:sloane.224
urn:cite:botcar:catesbyLabels.penLabel73.1	urn:cite:botcar:sloane.73
