labelURN	imageURN
urn:cite:botcar:catesbyLabels.penLabel118.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445
urn:cite:botcar:catesbyLabels.penLabel281.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477
urn:cite:botcar:catesbyLabels.penLabel81.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495
urn:cite:botcar:catesbyLabels.penLabel71.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608
urn:cite:botcar:catesbyLabels.penLabel76.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489
urn:cite:botcar:catesbyLabels.penLabel359.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_019_0491
urn:cite:botcar:catesbyLabels.penLabel181.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621
urn:cite:botcar:catesbyLabels.penLabel176.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458
urn:cite:botcar:catesbyLabels.penLabel216.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418
urn:cite:botcar:catesbyLabels.penLabel288.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478
urn:cite:botcar:catesbyLabels.penLabel286.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486
urn:cite:botcar:catesbyLabels.penLabel24.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456
urn:cite:botcar:catesbyLabels.penLabel160.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492
urn:cite:botcar:catesbyLabels.penLabel393.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505
urn:cite:botcar:catesbyLabels.penLabel367.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_030_0623
urn:cite:botcar:catesbyLabels.penLabel334.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464
urn:cite:botcar:catesbyLabels.penLabel352.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469
urn:cite:botcar:catesbyLabels.penLabel83.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480
urn:cite:botcar:catesbyLabels.penLabel132.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477
urn:cite:botcar:catesbyLabels.penLabel259.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469
urn:cite:botcar:catesbyLabels.penLabel232.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445
urn:cite:botcar:catesbyLabels.penLabel372.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_014_0498
urn:cite:botcar:catesbyLabels.penLabel246.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475
urn:cite:botcar:catesbyLabels.penLabel242.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_065_0592
urn:cite:botcar:catesbyLabels.penLabel324.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572
urn:cite:botcar:catesbyLabels.penLabel273.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_122_0536
urn:cite:botcar:catesbyLabels.penLabel387.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506
urn:cite:botcar:catesbyLabels.penLabel239.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_093_0567
urn:cite:botcar:catesbyLabels.penLabel105.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_094_0560
urn:cite:botcar:catesbyLabels.penLabel166.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_101_0553
urn:cite:botcar:catesbyLabels.penLabel47.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494
urn:cite:botcar:catesbyLabels.penLabel82.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474
urn:cite:botcar:catesbyLabels.penLabel388.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504
urn:cite:botcar:catesbyLabels.penLabel190.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434
urn:cite:botcar:catesbyLabels.penLabel192.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499
urn:cite:botcar:catesbyLabels.penLabel412.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503
urn:cite:botcar:catesbyLabels.penLabel402.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496
