urn:cite:botcar:genus.Geum	urn:cite:botcar:family.Rosaceae
urn:cite:botcar:genus.Glandularia	urn:cite:botcar:family.Verbenaceae
urn:cite:botcar:genus.Gleditsia	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Gordonia	urn:cite:botcar:family.Theaceae
urn:cite:botcar:genus.Habenaria	urn:cite:botcar:family.Orchidaceae
urn:cite:botcar:genus.Hamamelis	urn:cite:botcar:family.Hamamelidaceae
urn:cite:botcar:genus.Helenium	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Helianthus	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Heliopsis	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Hibiscus	urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Hydrangea	urn:cite:botcar:family.Hydrangeaceae
urn:cite:botcar:genus.Hylodesmum	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Hypericum	urn:cite:botcar:family.Hypericaceae
urn:cite:botcar:genus.Hyptis	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Ilex	urn:cite:botcar:family.Aquifoliaceae
urn:cite:botcar:genus.Impatiens	urn:cite:botcar:family.Balsaminaceae
urn:cite:botcar:genus.Indigofera	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Ipomoea	urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomopsis	urn:cite:botcar:family.Polemoniaceae
urn:cite:botcar:genus.Itea	urn:cite:botcar:family.Iteaceae
urn:cite:botcar:genus.Juncus	urn:cite:botcar:family.Juncaceae
urn:cite:botcar:genus.Kalmia	urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Kosteletzkya	urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Lachnanthes	urn:cite:botcar:family.Haemodoraceae
urn:cite:botcar:genus.Lactuca	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Lamiaceae	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Laportea	urn:cite:botcar:family.Urticaceae
urn:cite:botcar:genus.Leptochloa	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Lespedeza	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Leucothoe	urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Liatris	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Lilium	urn:cite:botcar:family.Liliaceae
