folioURN,Siglum,Sequence,RV,MS,CodexURN,defaultImage
urn:cite:botcar:CatesbyHS212.079,CatesbyHS212,82,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432-corr
urn:cite:botcar:CatesbyHS212.080,CatesbyHS212,83,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431-corr
urn:cite:botcar:CatesbyHS212.081,CatesbyHS212,84,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424-corr
urn:cite:botcar:CatesbyHS212.082,CatesbyHS212,85,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_082_0423-corr
urn:cite:botcar:CatesbyHS212.083,CatesbyHS212,86,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_083_0430-corr
urn:cite:botcar:CatesbyHS212.084,CatesbyHS212,87,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_084_0429-corr
urn:cite:botcar:CatesbyHS212.085,CatesbyHS212,88,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_085_0420-corr
urn:cite:botcar:CatesbyHS212.086,CatesbyHS212,89,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_086_0422-corr
urn:cite:botcar:CatesbyHS212.087,CatesbyHS212,90,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_087_0417-corr
urn:cite:botcar:CatesbyHS212.088,CatesbyHS212,91,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_088_0419-corr
urn:cite:botcar:CatesbyHS212.089,CatesbyHS212,92,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_089_0416-corr
urn:cite:botcar:CatesbyHS212.090,CatesbyHS212,93,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_090_0421-corr
urn:cite:botcar:CatesbyHS212.091,CatesbyHS212,94,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414-corr
urn:cite:botcar:CatesbyHS212.092,CatesbyHS212,95,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418-corr
urn:cite:botcar:CatesbyHS212.093,CatesbyHS212,96,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_093_0415-corr
urn:cite:botcar:CatesbyHS212.094,CatesbyHS212,97,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408-corr
urn:cite:botcar:CatesbyHS212.095,CatesbyHS212,98,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_095_0409-corr
urn:cite:botcar:CatesbyHS212.096,CatesbyHS212,99,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413-corr
