familyURN,label,familyName,tsn
urn:cite:botcar:family.Lycopodiaceae,"*Lycopodiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Lycopodiaceae,tsn:17012
urn:cite:botcar:family.Magnoliaceae,"*Magnoliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Magnoliaceae,tsn:18068
urn:cite:botcar:family.Malvaceae,"*Malvaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Malvaceae,tsn:21608
urn:cite:botcar:family.Melanthiaceae,"*Melanthiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Melanthiaceae,tsn:810131
urn:cite:botcar:family.Melastomataceae,"*Melastomataceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Melastomataceae,tsn:27683
urn:cite:botcar:family.Menispermaceae,"*Menispermaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Menispermaceae,tsn:18858
urn:cite:botcar:family.Moraceae,"*Moraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Moraceae,tsn:19063
urn:cite:botcar:family.Nartheciaceae,"*Nartheciaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Nartheciaceae,tsn:810128
urn:cite:botcar:family.Nymphaeaceae,"*Nymphaeaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Nymphaeaceae,tsn:18368
urn:cite:botcar:family.Nyssaceae,"*Nyssaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Nyssaceae,tsn:27797
urn:cite:botcar:family.Oleaceae,"*Oleaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Oleaceae,tsn:32927
urn:cite:botcar:family.Onagraceae,"*Onagraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Onagraceae,tsn:27279
