familyURN	label	familyName	tsn
urn:cite:botcar:family.Magnoliaceae	*Magnoliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Magnoliaceae	18068
urn:cite:botcar:family.Malvaceae	*Malvaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Malvaceae	21608
urn:cite:botcar:family.Melanthiaceae	*Melanthiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Melanthiaceae	810131
urn:cite:botcar:family.Melastomataceae	*Melastomataceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Melastomataceae	27683
urn:cite:botcar:family.Menispermaceae	*Menispermaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Menispermaceae	18858
urn:cite:botcar:family.Moraceae	*Moraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Moraceae	19063
urn:cite:botcar:family.Nartheciaceae	*Nartheciaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Nartheciaceae	810128
urn:cite:botcar:family.Nymphaeaceae	*Nymphaeaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Nymphaeaceae	18368
urn:cite:botcar:family.Nyssaceae	*Nyssaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Nyssaceae	27797
urn:cite:botcar:family.Oleaceae	*Oleaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Oleaceae	32927
urn:cite:botcar:family.Onagraceae	*Onagraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Onagraceae	27279
urn:cite:botcar:family.Orchidaceae	*Orchidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Orchidaceae	43397
urn:cite:botcar:family.Orobanchaceae	*Orobanchaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Orobanchaceae	34267
