speciesURN,tsn,familyURN,genusURN,scientificName,label
urn:cite:botcar:species.Philadelphusinodorus,tsn:24429,urn:cite:botcar:family.Hydrangeaceae,urn:cite:botcar:genus.Philadelphus,"Philadelphus inodorus L.","**Philadelphus inodorus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Phleumarenarium,"tsn:""to be added""",urn:cite:botcar:family.Gramineae,urn:cite:botcar:genus.Phleum,"Phleum arenarium?","**Phleum arenarium?**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Phloxamoena,tsn:30910,urn:cite:botcar:family.Polemoniaceae,urn:cite:botcar:genus.Phlox,"Phlox amoena Sims","**Phlox amoena Sims**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Phylanodiflora,tsn:32197,urn:cite:botcar:family.Verbenaceae,urn:cite:botcar:genus.Phyla,"Phyla nodiflora (L.) Greene","**Phyla nodiflora (L.) Greene**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Physalisangulata,tsn:30590,urn:cite:botcar:family.Solanaceae,urn:cite:botcar:genus.Physalis,"Physalis angulata L.","**Physalis angulata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Physostegiapurpurea,tsn:32397,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Physostegia,"Physostegia purpurea (Walter) Blake","**Physostegia purpurea (Walter) Blake**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Pityopsisgraminifolia,tsn:196349,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Pityopsis,"Pityopsis graminifolia (Michx.) Nutt. var. latifolia (Fernald) Semple & F.D. Bowers","**Pityopsis graminifolia (Michx.) Nutt. var. latifolia (Fernald) Semple & F.D. Bowers**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Platantheraciliaris,tsn:43413,urn:cite:botcar:family.Orchidaceae,urn:cite:botcar:genus.Platanthera,"Platanthera ciliaris (L.) Lindl.","**Platanthera ciliaris (L.) Lindl.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Platantheraintegra,tsn:43428,urn:cite:botcar:family.Orchidaceae,urn:cite:botcar:genus.Platanthera,"Platanthera integra (Nutt.) A. Gray ex Beck","**Platanthera integra (Nutt.) A. Gray ex Beck**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Platanusoccidentalis,tsn:19020,urn:cite:botcar:family.Platanaceae,urn:cite:botcar:genus.Platanus,"Platanus occidentalis L.","**Platanus occidentalis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
