genusURN,genusName,label,tsn,familyURN
urn:cite:botcar:genus.Triantha,Triantha,*Triantha*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:810146,urn:cite:botcar:family.Tofieldiaceae
urn:cite:botcar:genus.Trichostema,Trichostema,*Trichostema*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32361,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Trilisa,Trilisa,*Trilisa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:38576,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Trillium,Trillium,*Trillium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:43054,urn:cite:botcar:family.Trilliaceae
urn:cite:botcar:genus.Triodanis,Triodanis,*Triodanis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:34609,urn:cite:botcar:family.Campanulaceae
urn:cite:botcar:genus.Ulmus,Ulmus,*Ulmus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19048,urn:cite:botcar:family.Ulmaceae
urn:cite:botcar:genus.Uniola,Uniola,*Uniola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41315,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Vaccinium,Vaccinium,*Vaccinium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23571,urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Vernonia,Vernonia,*Vernonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:38615,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Viola,Viola,*Viola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:22030,urn:cite:botcar:family.Violaceae
urn:cite:botcar:genus.Vitis,Vitis,*Vitis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28606,urn:cite:botcar:family.Vitaceae
urn:cite:botcar:genus.Woodwardia,Woodwardia,*Woodwardia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:17748,urn:cite:botcar:family.Blechnaceae
urn:cite:botcar:genus.Xyris,Xyris,*Xyris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39096,urn:cite:botcar:family.Xyridaceae
urn:cite:botcar:genus.Zizania,Zizania,*Zizania*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41318,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.indetCaryophyllaceae,,,tsn:,urn:cite:botcar:family.Caryophyllaceae
