genusURN,genusName,label,tsn,familyURN
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Carphephorus,Carphephorus,*Carphephorus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36939,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Carpinus,Carpinus,*Carpinus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19503,urn:cite:botcar:family.Betulaceae
urn:cite:botcar:genus.Carya,Carya,*Carya*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19223,urn:cite:botcar:family.Juglandaceae
urn:cite:botcar:genus.Castanea,Castanea,*Castanea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19451,urn:cite:botcar:family.Fagaceae
urn:cite:botcar:genus.Catalpa,Catalpa,*Catalpa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:34312,urn:cite:botcar:family.Bignoniaceae
urn:cite:botcar:genus.Ceanothus,Ceanothus,*Ceanothus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28453,urn:cite:botcar:family.Rhamnaceae
urn:cite:botcar:genus.Cenchrus,Cenchrus,*Cenchrus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40569,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Cenchrus,Cenchrus,*Cenchrus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40569,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Cephalanthus,Cephalanthus,*Cephalanthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:34785,urn:cite:botcar:family.Rubiaceae
urn:cite:botcar:genus.Ceratiola,Ceratiola,*Ceratiola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23746,urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Cercis,Cercis,*Cercis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:25781,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Chamaecrista,Chamaecrista,*Chamaecrista*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500196,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Chamaesyce,Chamaesyce,*Chamaesyce*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28244,urn:cite:botcar:family.Euphorbiaceae
urn:cite:botcar:genus.Chaptalia,Chaptalia,*Chaptalia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37022,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Chasmanthium,Chasmanthium,*Chasmanthium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41546,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Chrysogonum,Chrysogonum,*Chrysogonum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37044,urn:cite:botcar:family.Asteraceae
