URN	tsn	scientificName	speciesURN	name	genusURN	familyURN	collectionDate	folioURN	ROI
urn:cite:botcar:lordSpecimens.38	28066	_Euphorbia exserta_ (Small) Coker	urn:cite:botcar:species.Euphorbiaexserta	Joseph Lord, Specimen 38	urn:cite:botcar:genus.Euphorbia	urn:cite:botcar:family.Euphorbiaceae	1704-06-15	urn:cite:botcar:LordFolios.HS268_21	urn:cite:fufolioimg:BotCarLord.Lord_HS268_021_2270@0.046,0.0331,0.7518,0.9669
urn:cite:botcar:lordSpecimens.40	196349	_Pityopsis graminifolia_ (Michx.) Nuttall var. latifolia Fernald	urn:cite:botcar:species.Pityopsisgraminifolia	Joseph Lord, Specimen 40	urn:cite:botcar:genus.Pityopsis	urn:cite:botcar:family.Asteraceae	1704-10-01	urn:cite:botcar:LordFolios.HS268_23	urn:cite:fufolioimg:BotCarLord.Lord_HS268_023_2272@0.0881,0.049,0.7848,0.9172
urn:cite:botcar:lordSpecimens.41	522192	_Symphyotrichum concolor_ (L.) Nesom	urn:cite:botcar:species.Symphyotrichumconcolor	Joseph Lord, Specimen 41	urn:cite:botcar:genus.Symphyotrichum	urn:cite:botcar:family.Asteraceae	1704-10-01	urn:cite:botcar:LordFolios.HS268_25	urn:cite:fufolioimg:BotCarLord.Lord_HS268_025_2273@0.043,0.004,0.7888,0.9781
urn:cite:botcar:lordSpecimens.42	780388	_Ionactis linariifolia_ (L.) Greene	urn:cite:botcar:species.Ionactislinariifolia	Joseph Lord, Specimen 42	urn:cite:botcar:genus.Ionactis	urn:cite:botcar:family.Asteraceae	1704-10-01	urn:cite:botcar:LordFolios.HS268_27	urn:cite:fufolioimg:BotCarLord.Lord_HS268_027_2274@0.047,0.002,0.7908,0.9689
urn:cite:botcar:lordSpecimens.44	37113	_Conyza canadensis_ (L.) Cronquist var. _pusilla_ (Nuttall) Cronquist	urn:cite:botcar:species.Conyzacanadensis	Joseph Lord, Specimen 44	urn:cite:botcar:genus.Conyza	urn:cite:botcar:family.Asteraceae	1704-07-14	urn:cite:botcar:LordFolios.HS268_29	urn:cite:fufolioimg:BotCarLord.Lord_HS268_029_2276@0.0551,0.0099,0.7357,0.9092
urn:cite:botcar:lordSpecimens.45	202495	_Chrysopsis mariana_ (L.) Elliott	urn:cite:botcar:species.Chrysopsismariana	Joseph Lord, Specimen 45	urn:cite:botcar:genus.Chrysopsis	urn:cite:botcar:family.Asteraceae	none	urn:cite:botcar:LordFolios.HS268_31	urn:cite:fufolioimg:BotCarLord.Lord_HS268_031_2277@0.0621,0.0404,0.7277,0.9357
urn:cite:botcar:lordSpecimens.35	35940	_Erigeron quercifolius_ Lam.	urn:cite:botcar:species.Erigeronquercifolius	Joseph Lord, Specimen 35	urn:cite:botcar:genus.Erigeron	urn:cite:botcar:family.Asteraceae	none	urn:cite:botcar:LordFolios.HS268_33	urn:cite:fufolioimg:BotCarLord.Lord_HS268_033_2278@0.022,0.1537,0.2452,0.7117
urn:cite:botcar:lordSpecimens.46	indet.	_Ageratina aromatica _(L.) Spach	urn:cite:botcar:species.Ageratinaaromatica	Joseph Lord, Specimen 46	urn:cite:botcar:genus.Ageratina	urn:cite:botcar:family.Asteraceae	1704-09-29	urn:cite:botcar:LordFolios.HS268_33	urn:cite:fufolioimg:BotCarLord.Lord_HS268_033_2278@0.1862,0.0311,0.5225,0.839
urn:cite:botcar:lordSpecimens.47	36001	_Eupatorium rotundifolium_ L.	urn:cite:botcar:species.Eupatoriumrotundifolium	Joseph Lord, Specimen 47	urn:cite:botcar:genus.Eupatorium	urn:cite:botcar:family.Asteraceae	1704-08-15	urn:cite:botcar:LordFolios.HS268_35	urn:cite:fufolioimg:BotCarLord.Lord_HS268_035_2280@0.0731,0.0146,0.7598,0.9423
urn:cite:botcar:lordSpecimens.48	502518	_Eupatorium mohrii_ Greene	urn:cite:botcar:species.Eupatoriummohrii	Joseph Lord, Specimen 48	urn:cite:botcar:genus.Eupatorium	urn:cite:botcar:family.Asteraceae	1704-09-29	urn:cite:botcar:LordFolios.HS268_37	urn:cite:fufolioimg:BotCarLord.Lord_HS268_037_2281@0.0531,0,0.7347,0.9934
urn:cite:botcar:lordSpecimens.49	507657	_Pseudognaphalium obtusifolium_ (L.) Hilliard & Burtt	urn:cite:botcar:species.Pseudognaphaliumobtusifolium	Joseph Lord, Specimen 49	urn:cite:botcar:genus.Pseudognaphalium	urn:cite:botcar:family.Asteraceae	1704-09-06	urn:cite:botcar:LordFolios.HS268_39	urn:cite:fufolioimg:BotCarLord.Lord_HS268_039_2282@0,0.0199,0.5205,0.9483
urn:cite:botcar:lordSpecimens.50	507625	_Liatris pilosa_ (Aiton) Willdenow	urn:cite:botcar:species.Liatrispilosa	Joseph Lord, Specimen 50	urn:cite:botcar:genus.Liatris	urn:cite:botcar:family.Asteraceae	1704-08-04	urn:cite:botcar:LordFolios.HS268_39	urn:cite:fufolioimg:BotCarLord.Lord_HS268_039_2282@0.3864,0.0325,0.6136,0.9516
urn:cite:botcar:lordSpecimens.51	503447	_Liatris squarrulosa_ Michaux	urn:cite:botcar:species.Liatrissquarrulosa	Joseph Lord, Specimen 51	urn:cite:botcar:genus.Liatris	urn:cite:botcar:family.Asteraceae	1704-09-07	urn:cite:botcar:LordFolios.HS268_041	urn:cite:fufolioimg:BotCarLord.Lord_HS268_041_2283@0.0601,0.0272,0.7077,0.9251
urn:cite:botcar:lordSpecimens.52	38578	_Trilisa paniculata_ (J.F. Gmelin) Cassini = _Carphephorus paniculatus_ (J.F. Gmel.) Herb.	urn:cite:botcar:species.Trilisapaniculata	Joseph Lord, Specimen 52	urn:cite:botcar:genus.Trilisa	urn:cite:botcar:family.Asteraceae	1704-09-12	urn:cite:botcar:LordFolios.HS268_43	urn:cite:fufolioimg:BotCarLord.Lord_HS268_043_2284@0,0.0033,0.6957,0.9536
urn:cite:botcar:lordSpecimens.53	507572	_Cyclospermum leptophyllum_ (Persoon) Sprague ex Britton & Wilson	urn:cite:botcar:species.Cyclospermumleptophyllum	Joseph Lord, Specimen 53	urn:cite:botcar:genus.Cyclospermum	urn:cite:botcar:family.Apiaceae	1704-06-15	urn:cite:botcar:LordFolios.HS268_43	urn:cite:fufolioimg:BotCarLord.Lord_HS268_043_2284@0.4494,0.0649,0.5506,0.7548
