URN	tsn	scientificName	speciesURN	name	genusURN	familyURN	collectionDate	folioURN	ROI
urn:cite:botcar:lordSpecimens.72	34522	_Lobelia glandulosa_ Walter	urn:cite:botcar:species.Lobeliaglandulosa	Joseph Lord, Specimen 72	urn:cite:botcar:genus.Lobelia	urn:cite:botcar:family.Campanulaceae	none	urn:cite:botcar:LordFolios.HS284_40	urn:cite:fufolioimg:BotCarLord.Lord_HS284_040_2313@0.026,0.0861,0.3524,0.8469
urn:cite:botcar:lordSpecimens.73	36596	_Lactuca canadensis_ L.	urn:cite:botcar:species.Lactucacanadensis	Joseph Lord, Specimen 73	urn:cite:botcar:genus.Lactuca	urn:cite:botcar:family.Asteraceae	1704-09-12	urn:cite:botcar:LordFolios.HS284_40	urn:cite:fufolioimg:BotCarLord.Lord_HS284_040_2313@0.3664,0.0358,0.4074,0.9198
urn:cite:botcar:lordSpecimens.74	34527	_Lobelia nuttallii_ Schultes	urn:cite:botcar:species.Lobelianuttallii	Joseph Lord, Specimen 74	urn:cite:botcar:genus.Lobelia	urn:cite:botcar:family.Campanulaceae	1704-07-14	urn:cite:botcar:LordFolios.HS284_42	urn:cite:fufolioimg:BotCarLord.Lord_HS284_042_2315@0.2402,0.0842,0.5976,0.8516
urn:cite:botcar:lordSpecimens.75	34373	_Ruellia caroliniensis_ (J.F. Gmelin) Steudel	urn:cite:botcar:species.Ruelliacaroliniensis	Joseph Lord, Specimen 75	urn:cite:botcar:genus.Ruellia	urn:cite:botcar:family.Acanthaceae	1704-09-07	urn:cite:botcar:LordFolios.HS284_43	urn:cite:fufolioimg:BotCarLord.Lord_HS284_043_2316@0.0871,0.0437,0.7397,0.882
urn:cite:botcar:lordSpecimens.76	34373	_Ruellia caroliniensis_ (J.F. Gmelin) Steudel	urn:cite:botcar:species.Ruelliacaroliniensis	Joseph Lord, Specimen 76	urn:cite:botcar:genus.Ruellia	urn:cite:botcar:family.Acanthaceae	1704-06-15	urn:cite:botcar:LordFolios.HS284_45	urn:cite:fufolioimg:BotCarLord.Lord_HS284_045_2317@0.1241,0.1146,0.7487,0.8482
urn:cite:botcar:lordSpecimens.77	33484	_Aureolaria flava_ (L.) Farwell	urn:cite:botcar:species.Aureolariaflava	Joseph Lord, Specimen 77	urn:cite:botcar:genus.Aureolaria	urn:cite:botcar:family.Orobanchaceae	1704-10-15	urn:cite:botcar:LordFolios.HS284_47	urn:cite:fufolioimg:BotCarLord.Lord_HS284_047_2318@0.0701,0.0822,0.7297,0.888
urn:cite:botcar:lordSpecimens.78	33028	_Agalinis linifolia_ (Nuttall) Britton	urn:cite:botcar:species.Agalinislinifolia	Joseph Lord, Specimen 78	urn:cite:botcar:genus.Agalinis	urn:cite:botcar:family.Orobanchaceae	1704-09-23	urn:cite:botcar:LordFolios.HS284_49	urn:cite:fufolioimg:BotCarLord.Lord_HS284_049_2319@0.1111,0.0298,0.7197,0.9337
urn:cite:botcar:lordSpecimens.79	32362	_Trichostema setaceum_ Houttuyn	urn:cite:botcar:species.Trichostemasetaceum	Joseph Lord, Specimen 79	urn:cite:botcar:genus.Trichostema	urn:cite:botcar:family.Lamiaceae	1704-09-26	urn:cite:botcar:LordFolios.HS284_51	urn:cite:fufolioimg:BotCarLord.Lord_HS284_051_2321@0.2482,0.0683,0.5355,0.8197
urn:cite:botcar:lordSpecimens.80	27371	_Oenothera laciniata_ Hill	urn:cite:botcar:species.Oenotheralaciniata	Joseph Lord, Specimen 80	urn:cite:botcar:genus.Oenothera	urn:cite:botcar:family.Onagraceae	1704-06-15	urn:cite:botcar:LordFolios.HS284_53	urn:cite:fufolioimg:BotCarLord.Lord_HS284_053_2322@0.1261,0.116,0.4895,0.7926
urn:cite:botcar:lordSpecimens.81	503969	_Nuttallanthus canadensis_ (L.) D.A. Sutton	urn:cite:botcar:species.Nuttallanthuscanadensis	Joseph Lord, Specimen 81	urn:cite:botcar:genus.Nuttallanthus	urn:cite:botcar:family.Plantaginaceae	none	urn:cite:botcar:LordFolios.HS284_53	urn:cite:fufolioimg:BotCarLord.Lord_HS284_053_2322@0.4274,0.218,0.4214,0.6978
urn:cite:botcar:lordSpecimens.82	836007	_Oenothera simulans_ (Small) W.L. Wagner & Hoch	urn:cite:botcar:species.Oenotherasimulans	Joseph Lord, Specimen 82	urn:cite:botcar:genus.Oenothera	urn:cite:botcar:family.Onagraceae	1704-09-07	urn:cite:botcar:LordFolios.HS284_55	urn:cite:fufolioimg:BotCarLord.Lord_HS284_055_2324@0.0601,0.0166,0.7918,0.9768
urn:cite:botcar:lordSpecimens.83	26973	_Stylosanthes biflora_ (L.) BSP	urn:cite:botcar:species.Stylosanthesbiflora	Joseph Lord, Specimen 83	urn:cite:botcar:genus.Stylosanthes	urn:cite:botcar:family.Fabaceae	1704-06-15	urn:cite:botcar:LordFolios.HS284_57	urn:cite:fufolioimg:BotCarLord.Lord_HS284_057_2325@0.1071,0.0186,0.7257,0.9384
urn:cite:botcar:lordSpecimens.84	26996	_Tephrosia spicata_ (Walter) Torrey & A. Gray	urn:cite:botcar:species.Tephrosiaspicata	Joseph Lord, Specimen 84	urn:cite:botcar:genus.Tephrosia	urn:cite:botcar:family.Fabaceae	1704-06-15	urn:cite:botcar:LordFolios.HS284_59	urn:cite:fufolioimg:BotCarLord.Lord_HS284_059_2327@0.038,0.0272,0.7447,0.9463
urn:cite:botcar:lordSpecimens.85	indet.	_Chamaecrista fasciculata _(Michaux) Greene	urn:cite:botcar:species.Chamaecristafasciculata	Joseph Lord, Specimen 85	urn:cite:botcar:genus.Chamaecrista	urn:cite:botcar:family.Fabaceae	1704-08-03	urn:cite:botcar:LordFolios.HS284_61	urn:cite:fufolioimg:BotCarLord.Lord_HS284_061_2328@0.0871,0.0305,0.6677,0.8721
urn:cite:botcar:lordSpecimens.86	504048	_Orbexilum pedunculatum_ (P. Miller) Rydberg var. _psoralioides_ (Walter) Isely	urn:cite:botcar:species.Orbexilumpedunculatum	Joseph Lord, Specimen 86	urn:cite:botcar:genus.Orbexilum	urn:cite:botcar:family.Fabaceae	1704-06-02	urn:cite:botcar:LordFolios.HS284_63	urn:cite:fufolioimg:BotCarLord.Lord_HS284_063_2331@0.1632,0.0205,0.6707,0.9112
urn:cite:botcar:lordSpecimens.87	504773	_Rhynchosia tomentosa_ (L.) Hooker & Arnott	urn:cite:botcar:species.Rhynchosiatomentosa	Joseph Lord, Specimen 87	urn:cite:botcar:genus.Rhynchosia	urn:cite:botcar:family.Fabaceae	1704-06-02	urn:cite:botcar:LordFolios.HS284_65	urn:cite:fufolioimg:BotCarLord.Lord_HS284_065_2332@0.1431,0.0497,0.7277,0.8111
urn:cite:botcar:lordSpecimens.88	565789	_Lespedeza violacea_ (L.) Persoon	urn:cite:botcar:species.Lespedezaviolacea	Joseph Lord, Specimen 88	urn:cite:botcar:genus.Lespedeza	urn:cite:botcar:family.Fabaceae	1704-09-07	urn:cite:botcar:LordFolios.HS284_67	urn:cite:fufolioimg:BotCarLord.Lord_HS284_067_2336@0.1231,0.0139,0.6597,0.8926
urn:cite:botcar:lordSpecimens.89	25813	_Desmodium nuttallii_ (Schindler) Schubert	urn:cite:botcar:species.Desmodiumnuttallii	Joseph Lord, Specimen 89	urn:cite:botcar:genus.Desmodium	urn:cite:botcar:family.Fabaceae	none	urn:cite:botcar:LordFolios.HS284_69	urn:cite:fufolioimg:BotCarLord.Lord_HS284_069_2337@0.1361,0.0311,0.6486,0.9085
urn:cite:botcar:lordSpecimens.90	29348	_Polygala lutea_ L.	urn:cite:botcar:species.Polygalalutea	Joseph Lord, Specimen 90	urn:cite:botcar:genus.Polygala	urn:cite:botcar:family.Polygalaceae	1704-06-02	urn:cite:botcar:LordFolios.HS284_71	urn:cite:fufolioimg:BotCarLord.Lord_HS284_071_2338@0.0821,0.0855,0.2302,0.8304
urn:cite:botcar:lordSpecimens.91	29336	_Polygala grandiflora_ Walter = _Asemeia grandiflora_ (Walter) Small	urn:cite:botcar:species.Polygalagrandiflora	Joseph Lord, Specimen 91	urn:cite:botcar:genus.Polygala	urn:cite:botcar:family.Polygalaceae	1704-07-14	urn:cite:botcar:LordFolios.HS284_71	urn:cite:fufolioimg:BotCarLord.Lord_HS284_071_2338@0.2723,0.0305,0.4825,0.9079
urn:cite:botcar:lordSpecimens.92	29317	_Polygala setacea_ Michaux	urn:cite:botcar:species.Polygalasetacea	Joseph Lord, Specimen 92	urn:cite:botcar:genus.Polygala	urn:cite:botcar:family.Polygalaceae	1704-06-02	urn:cite:botcar:LordFolios.HS284_73	urn:cite:fufolioimg:BotCarLord.Lord_HS284_073_2342@0.0771,0.0212,0.3654,0.8608
urn:cite:botcar:lordSpecimens.93	29336	_Polygala grandiflora_ Walter = _Asemeia grandiflora_ (Walter) Small	urn:cite:botcar:species.Polygalagrandiflora	Joseph Lord, Specimen 93	urn:cite:botcar:genus.Polygala	urn:cite:botcar:family.Polygalaceae	1704-06-15	urn:cite:botcar:LordFolios.HS284_73	urn:cite:fufolioimg:BotCarLord.Lord_HS284_073_2342@0.4314,0.0623,0.3103,0.7535
urn:cite:botcar:lordSpecimens.94	505791	_Zephyranthes atamasca_ (L.) Herbert	urn:cite:botcar:species.Zephyranthesatamasca	Joseph Lord, Specimen 94	urn:cite:botcar:genus.Zephyranthes	urn:cite:botcar:family.Amaryllidaceae	1704-04-20	urn:cite:botcar:LordFolios.HS284_75	urn:cite:fufolioimg:BotCarLord.Lord_HS284_075_2344@0.4755,0.0954,0.3203,0.2512
urn:cite:botcar:lordSpecimens.95	26578	_Crotalaria rotundifolia_ Walter ex J.F. Gmelin	urn:cite:botcar:species.Crotalariarotundifolia	Joseph Lord, Specimen 95	urn:cite:botcar:genus.Crotalaria	urn:cite:botcar:family.Fabaceae	1704-05-31	urn:cite:botcar:LordFolios.HS284_75	urn:cite:fufolioimg:BotCarLord.Lord_HS284_075_2344@0.3774,0.336,0.3604,0.4957
urn:cite:botcar:lordSpecimens.96	30002	_Sabatia campanulata_ (L.) Torrey	urn:cite:botcar:species.Sabatiacampanulata	Joseph Lord, Specimen 96	urn:cite:botcar:genus.Sabatia	urn:cite:botcar:family.Gentianaceae	1704-08-18	urn:cite:botcar:LordFolios.HS284_77	urn:cite:fufolioimg:BotCarLord.Lord_HS284_077_2345@0.0711,0.0172,0.4484,0.9331
urn:cite:botcar:lordSpecimens.97	503146	_Hypoxis hirsuta_ (L.) Coville	urn:cite:botcar:species.Hypoxishirsuta	Joseph Lord, Specimen 97	urn:cite:botcar:genus.Hypoxis	urn:cite:botcar:family.Hypoxidaceae	1704-08-01	urn:cite:botcar:LordFolios.HS284_77	urn:cite:fufolioimg:BotCarLord.Lord_HS284_077_2345@0.1361,0.0126,0.3684,0.5626
urn:cite:botcar:lordSpecimens.98	indet.	Indet	indet	Joseph Lord, Specimen 98	null	null	none	urn:cite:botcar:LordFolios.HS284_77	urn:cite:fufolioimg:BotCarLord.Lord_HS284_077_2345@0.3674,0.0855,0.4515,0.7846
urn:cite:botcar:lordSpecimens.99	30017	_Sabatia quadrangula_ Wilbur	urn:cite:botcar:species.Sabatiaquadrangula	Joseph Lord, Specimen 99	urn:cite:botcar:genus.Sabatia	urn:cite:botcar:family.Gentianaceae	1704-05-31	urn:cite:botcar:LordFolios.HS284_79	urn:cite:fufolioimg:BotCarLord.Lord_HS284_079_2350@0.1271,0.0702,0.2523,0.8105
urn:cite:botcar:lordSpecimens.100	indet.	_Spigelia marilandica _(L.) L.	urn:cite:botcar:species.Spigeliamarilandica	Joseph Lord, Specimen 100	urn:cite:botcar:genus.Spigelia	urn:cite:botcar:family.Loganiaceae	1704-05-03	urn:cite:botcar:LordFolios.HS284_79	urn:cite:fufolioimg:BotCarLord.Lord_HS284_079_2350@0.2492,0.0471,0.3253,0.7117
urn:cite:botcar:lordSpecimens.101	27687	_Rhexia alifanus_ Walter	urn:cite:botcar:species.Rhexiaalifanus	Joseph Lord, Specimen 101	urn:cite:botcar:genus.Rhexia	urn:cite:botcar:family.Melastomataceae	1704-07-03	urn:cite:botcar:LordFolios.HS284_79	urn:cite:fufolioimg:BotCarLord.Lord_HS284_079_2350@0.4885,0.0159,0.3894,0.9304
urn:cite:botcar:lordSpecimens.102	29959	_Polypremum procumbens_ L.	urn:cite:botcar:species.Polypremumprocumbens	Joseph Lord, Specimen 102	urn:cite:botcar:genus.Polypremum	urn:cite:botcar:family.Tetrachondraceae	1704-06-14	urn:cite:botcar:LordFolios.HS284_81	urn:cite:fufolioimg:BotCarLord.Lord_HS284_081_2352@0.1201,0.0716,0.7217,0.4089
urn:cite:botcar:lordSpecimens.103	29959	_Polypremum procumbens_ L.	urn:cite:botcar:species.Polypremumprocumbens	Joseph Lord, Specimen 103	urn:cite:botcar:genus.Polypremum	urn:cite:botcar:family.Tetrachondraceae	1704-09-07	urn:cite:botcar:LordFolios.HS284_81	urn:cite:fufolioimg:BotCarLord.Lord_HS284_081_2352@0.2593,0.4718,0.4975,0.3718
urn:cite:botcar:lordSpecimens.39	indet.	_Desmodium_ sp.	indet.	Joseph Lord, Specimen 39	urn:cite:botcar:genus.Desmodium	urn:cite:botcar:family.Fabaceae	none	urn:cite:botcar:LordFolios.HS284_81	urn:cite:fufolioimg:BotCarLord.Lord_HS284_081_2352@0.1231,0.6614,0.1762,0.1219
urn:cite:botcar:lordSpecimens.43	indet.	Indet.	indet.	Joseph Lord, Specimen 43	null	null	none	urn:cite:botcar:LordFolios.HS284_83	urn:cite:fufolioimg:BotCarLord.Lord_HS284_083_2353@0.1522,0.1491,0.5926,0.6607
urn:cite:botcar:lordSpecimens.104	27335	_Ludwigia alternifolia_ L.	urn:cite:botcar:species.Ludwigiaalternifolia	Joseph Lord, Specimen 104	urn:cite:botcar:genus.Ludwigia	urn:cite:botcar:family.Onagraceae	1704-10-04	urn:cite:botcar:LordFolios.HS284_85	urn:cite:fufolioimg:BotCarLord.Lord_HS284_085_2354@0.0831,0.0258,0.7968,0.9304
urn:cite:botcar:lordSpecimens.105	27685	_Rhexia mariana_ L.	urn:cite:botcar:species.Rhexiamariana	Joseph Lord, Specimen 105	urn:cite:botcar:genus.Rhexia	urn:cite:botcar:family.Melastomataceae	1704-07-31	urn:cite:botcar:LordFolios.HS284_87	urn:cite:fufolioimg:BotCarLord.Lord_HS284_087_2355@0.1441,0.0139,0.2653,0.9192
urn:cite:botcar:lordSpecimens.106	27685	_Rhexia mariana_ L.	urn:cite:botcar:species.Rhexiamariana	Joseph Lord, Specimen 106	urn:cite:botcar:genus.Rhexia	urn:cite:botcar:family.Melastomataceae	1704-07-24	urn:cite:botcar:LordFolios.HS284_87	urn:cite:fufolioimg:BotCarLord.Lord_HS284_087_2355@0.3564,0.0808,0.5025,0.727
urn:cite:botcar:lordSpecimens.107	indet.	_Rhexia nashii _Small	urn:cite:botcar:species.Rhexianashii	Joseph Lord, Specimen 107	urn:cite:botcar:genus.Rhexia	urn:cite:botcar:family.Melastomataceae	1704-07-21	urn:cite:botcar:LordFolios.HS284_89	urn:cite:fufolioimg:BotCarLord.Lord_HS284_089_2358@0.1451,0.0855,0.1962,0.786
urn:cite:botcar:lordSpecimens.108	indet.	_Rhexia petiolata _Walter	urn:cite:botcar:species.Rhexiapetiolata	Joseph Lord, Specimen 108	urn:cite:botcar:genus.Rhexia	urn:cite:botcar:family.Melastomataceae	1704-08-01	urn:cite:botcar:LordFolios.HS284_89	urn:cite:fufolioimg:BotCarLord.Lord_HS284_089_2358@0.2723,0.061,0.5566,0.7999
urn:cite:botcar:lordSpecimens.110	43441	_Pogonia ophioglossoides_ (L.) Ker-Gawler	urn:cite:botcar:species.Pogoniaophioglossoides	Joseph Lord, Specimen 110	urn:cite:botcar:genus.Pogonia	urn:cite:botcar:family.Orchidaceae	1704-05-05	urn:cite:botcar:LordFolios.HS284_91	urn:cite:fufolioimg:BotCarLord.Lord_HS284_091_2361@0.3774,0.0928,0.4084,0.5295
urn:cite:botcar:lordSpecimens.111	indet.	_Cuthbertia rosea _(Ventenat) Small	urn:cite:botcar:species.Cuthbertiarosea	Joseph Lord, Specimen 111	urn:cite:botcar:genus.Cuthbertia	urn:cite:botcar:family.Commelinaceae	1704-06-13	urn:cite:botcar:LordFolios.HS284_91	urn:cite:fufolioimg:BotCarLord.Lord_HS284_091_2361@0.1301,0.0444,0.2753,0.8675
urn:cite:botcar:lordSpecimens.112	21996	_Sarracenia flava_ L.	urn:cite:botcar:species.Sarraceniaflava	Joseph Lord, Specimen 112	urn:cite:botcar:genus.Sarracenia	urn:cite:botcar:family.Sarraceniaceae	1704-05-01	urn:cite:botcar:LordFolios.HS285_01	urn:cite:fufolioimg:BotCarLord.Lord_HS285_001_2364@0,0.0577,0.7297,0.9218
urn:cite:botcar:lordSpecimens.113	894684	_Platanthera conspicua_ (Nash) P.M. Brown	urn:cite:botcar:species.Platantheraconspicua	Joseph Lord, Specimen 113	urn:cite:botcar:genus.Platanthera	urn:cite:botcar:family.Orchidaceae	1704-08-10	urn:cite:botcar:LordFolios.HS285_01	urn:cite:fufolioimg:BotCarLord.Lord_HS285_001_2364@0.2933,0.1703,0.3093,0.6918
urn:cite:botcar:lordSpecimens.114	43413	_Platanthera ciliaris_ (L.) Lindley	urn:cite:botcar:species.Platantheraciliaris	Joseph Lord, Specimen 114	urn:cite:botcar:genus.Platanthera	urn:cite:botcar:family.Orchidaceae	1704-08-10	urn:cite:botcar:LordFolios.HS285_01	urn:cite:fufolioimg:BotCarLord.Lord_HS285_001_2364@0.5055,0.1962,0.4414,0.7084
urn:cite:botcar:lordSpecimens.115	23704	_Rhododendron atlanticum_ (Ashe) Rehder	urn:cite:botcar:species.Rhododendronatlanticum	Joseph Lord, Specimen 115	urn:cite:botcar:genus.Rhododendron	urn:cite:botcar:family.Ericaceae	1704-05-15	urn:cite:botcar:LordFolios.HS285_04	urn:cite:fufolioimg:BotCarLord.Lord_HS285_004_2366@0.1622,0.0192,0.7578,0.4917
urn:cite:botcar:lordSpecimens.116	43078	_Trillium maculatum_ Raf.	urn:cite:botcar:species.Trilliummaculatum	Joseph Lord, Specimen 116	urn:cite:botcar:genus.Trillium	urn:cite:botcar:family.Trilliaceae	1704-05-03	urn:cite:botcar:LordFolios.HS285_04	urn:cite:fufolioimg:BotCarLord.Lord_HS285_004_2366@0.2222,0.4619,0.6837,0.4818
urn:cite:botcar:lordSpecimens.117	28728	_Acer rubrum_ L.	urn:cite:botcar:species.Acerrubrum	Joseph Lord, Specimen 117	urn:cite:botcar:genus.Acer	urn:cite:botcar:family.Sapindaceae	1704-05-17	urn:cite:botcar:LordFolios.HS285_05	urn:cite:fufolioimg:BotCarLord.Lord_HS285_005_2368@0.0591,0.1392,0.3914,0.7541
urn:cite:botcar:lordSpecimens.118	28723	_Aesculus pavia_ L.	urn:cite:botcar:species.Aesculuspavia	Joseph Lord, Specimen 118	urn:cite:botcar:genus.Aesculus	urn:cite:botcar:family.Sapindaceae	1704-09-29	urn:cite:botcar:LordFolios.HS285_05	urn:cite:fufolioimg:BotCarLord.Lord_HS285_005_2368@0.4414,0.0451,0.3664,0.8741
urn:cite:botcar:lordSpecimens.119	27987	_Ilex ambigua_ (Michaux) Torrey	urn:cite:botcar:species.Ilexambigua	Joseph Lord, Specimen 119	urn:cite:botcar:genus.Ilex	urn:cite:botcar:family.Aquifoliaceae	1704-09-15	urn:cite:botcar:LordFolios.HS285_08	urn:cite:fufolioimg:BotCarLord.Lord_HS285_008_2370@0.1421,0.1259,0.3954,0.772
urn:cite:botcar:lordSpecimens.120	indet.	Indet.	indet.	Joseph Lord, Specimen 120	null	null	none	urn:cite:botcar:LordFolios.HS285_08	urn:cite:fufolioimg:BotCarLord.Lord_HS285_008_2370@0.4254,0,0.3964,0.8728
urn:cite:botcar:lordSpecimens.109	33823	_Penstemon australis_ Small	urn:cite:botcar:species.Penstemonaustralis	Joseph Lord, Specimen 109	urn:cite:botcar:genus.Penstemon	urn:cite:botcar:family.Plantaginaceae	1704-05-19	urn:cite:botcar:LordFolios.HS284_75	urn:cite:fufolioimg:BotCarLord.Lord_HS284_075_2344@0.1522,0.0596,0.3203,0.8423
