speciesURN	tsn	familyURN	genusURN	scientificName	label
urn:cite:botcar:species.Bigelowianudata	36837	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Bigelowia	Bigelowia nudata (Michx.) DC.	**Bigelowia nudata (Michx.) DC.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Brunnichiaovata	501079	urn:cite:botcar:family.Polygonaceae	urn:cite:botcar:genus.Brunnichia	Brunnichia ovata (Walter) Shinners	**Brunnichia ovata (Walter) Shinners**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Calycanthusfloridus	18142	urn:cite:botcar:family.Calycanthaceae	urn:cite:botcar:genus.Calycanthus	Calycanthus floridus L.	**Calycanthus floridus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Calystegiacatesbeiana	845106	urn:cite:botcar:family.Convolvulaceae	urn:cite:botcar:genus.Calystegia	Calystegia catesbeiana Pursh	**Calystegia catesbeiana Pursh**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Carexglaucescens	39396	urn:cite:botcar:family.Cyperaceae	urn:cite:botcar:genus.Carex	Carex glaucescens Elliott	**Carex glaucescens Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Carexstriata	501278	urn:cite:botcar:family.Cyperaceae	urn:cite:botcar:genus.Carex	Carex striata Michx.	**Carex striata Michx. **: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Carphephoruscarnosus	501300	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Carphephorus	Carphephorus carnosus (Small) C.W. James	**Carphephorus carnosus (Small) C.W. James**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Carpinuscaroliniana	19504	urn:cite:botcar:family.Betulaceae	urn:cite:botcar:genus.Carpinus	Carpinus caroliniana Walter	**Carpinus caroliniana Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Caryatomentosa	19247	urn:cite:botcar:family.Juglandaceae	urn:cite:botcar:genus.Carya	Carya tomentosa (Lamarck ex Poiret) Nuttall	**Carya tomentosa (Lamarck ex Poiret) Nuttall**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Castaneapumila	19457	urn:cite:botcar:family.Fagaceae	urn:cite:botcar:genus.Castanea	Castanea pumila (L.) Mill	**Castanea pumila (L.) Mill**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Catalpabignonioides	34313	urn:cite:botcar:family.Bignoniaceae	urn:cite:botcar:genus.Catalpa	Catalpa bignonioides Walter	**Catalpa bignonioides Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ceanothusamericanus	28454	urn:cite:botcar:family.Rhamnaceae	urn:cite:botcar:genus.Ceanothus	Ceanothus americanus L.	**Ceanothus americanus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cephalanthusoccidentalis	34786	urn:cite:botcar:family.Rubiaceae	urn:cite:botcar:genus.Cephalanthus	Cephalanthus occidentalis L.	**Cephalanthus occidentalis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ceratiolaericoides	23747	urn:cite:botcar:family.Ericaceae	urn:cite:botcar:genus.Ceratiola	Ceratiola ericoides Michx.	**Ceratiola ericoides Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cerciscanadensis	25782	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Cercis	Cercis canadensis L.	**Cercis canadensis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chamaecristafasciculata	501383	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Chamaecrista	Chamaecrista fasciculata (Michaux) Greene	**Chamaecrista fasciculata (Michaux) Greene**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chamaecristanictitans	501388	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Chamaecrista	Chamaecrista nictitans (Michx.) Greene	**Chamaecrista nictitans (Michx.) Greene**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chamaesycesp	28244	urn:cite:botcar:family.Euphorbiaceae	urn:cite:botcar:genus.Chamaesyce	Chamaesyce sp.	**Chamaesyce sp.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chaptaliatomentosa	37026	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Chaptalia	Chaptalia tomentosa Vent.	**Chaptalia tomentosa Vent.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chasmanthiumlatifolium	41547	urn:cite:botcar:family.Poaceae	urn:cite:botcar:genus.Chasmanthium	Chasmanthium latifolium (Michaux) Yates	**Chasmanthium latifolium (Michaux) Yates**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chrysogonumvirginianum	37045	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Chrysogonum	Chrysogonum virginianum L.	**Chrysogonum virginianum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chrysopsisgossypina	501510	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Chrysopsis	Chrysopsis gossypina (Michaux) Elliott	**Chrysopsis gossypina (Michaux) Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Chrysopsismariana	202495	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Chrysopsis	Chrysopsis mariana (L.) Elliott	**Chrysopsis mariana (L.) Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cicutamaculata	29456	urn:cite:botcar:family.Apiaceae	urn:cite:botcar:genus.Cicuta	Cicuta maculata L.	**Cicuta maculata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Clematiscrispa	18694	urn:cite:botcar:family.Ranunculaceae	urn:cite:botcar:genus.Clematis	Clematis crispa L.	**Clematis crispa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Clematisviorna	18715	urn:cite:botcar:family.Ranunculaceae	urn:cite:botcar:genus.Clematis	Clematis viorna L.	**Clematis viorna L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Clethratomentosa	511154	urn:cite:botcar:family.Clethraceae	urn:cite:botcar:genus.Clethra	Clethra tomentosa Lamarck	**Clethra tomentosa Lamarck**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
