SpecimenURN,ScientificName,SpeciesURN,ImageURN,ROI
urn:cite:botcar:sloane.222,Catesby Specimen 222: Asclepias humistrata Walter,urn:cite:botcar:species.Asclepiashumistrata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_086_0564,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_086_0564@0.0982,0.216,0.362,0.579"
urn:cite:botcar:sloane.69,Catesby Specimen 69: Ilex ambigua (Michx.) Torr.,urn:cite:botcar:species.Ilexambigua,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496@0.155,0.0565,0.5,0.719"
urn:cite:botcar:sloane.33,Catesby Specimen 33: Ilex cassine L.,urn:cite:botcar:species.Ilexcassine,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441@0.644,0.131,0.338,0.515"
urn:cite:botcar:sloane.305,Catesby Specimen 305: Ilex cassine x opaca,urn:cite:botcar:species.Ilexcassine,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441@0.371,0.106,0.347,0.417"
urn:cite:botcar:sloane.32,Catesby Specimen 32: Endodeca serpentaria (Linnaeus) Rafinesque,urn:cite:botcar:species.Endodecaserpentaria,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_122_0536,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_122_0536@0.57,0.137,0.354,0.742"
urn:cite:botcar:sloane.363,Catesby Specimen 363: Asarum canadense L.,urn:cite:botcar:species.Asarumcanadense,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453@0.165,0.652,0.496,0.271"
urn:cite:botcar:sloane.378,Catesby Specimen 378: Asplenium trichomanes L.,urn:cite:botcar:species.Aspleniumtrichomanes,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.592,0.69,0.24,0.172"
urn:cite:botcar:sloane.317,Catesby Specimen 317: Eupatorium leucolepis (DC.) Torr. & A. Gray,urn:cite:botcar:species.Eupatoriumleucolepis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505@0.58,0.0685,0.406,0.639"
urn:cite:botcar:sloane.5,Catesby Specimen 5: Eupatorium leucolepis (DC.) Torr. & A. Gray,urn:cite:botcar:species.Eupatoriumleucolepis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505@0.113,0.0595,0.457,0.66"
urn:cite:botcar:sloane.393,Catesby Specimen 393: Solidago fistulosa Mill.,urn:cite:botcar:species.Solidagofistulosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505@0.385,0.261,0.33,0.671"
urn:cite:botcar:sloane.398,Catesby Specimen 398: Smallanthus uvedalius (Linnaeus) Mackenzie ex Small,urn:cite:botcar:species.Smallanthusuvedalius,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_102_0556,""
urn:cite:botcar:sloane.325,Catesby Specimen 325: Liatris secunda Elliott,urn:cite:botcar:species.Liatrissecunda,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542@0.371,0.234,0.402,0.665"
urn:cite:botcar:sloane.44,Catesby Specimen 44: Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser,urn:cite:botcar:species.Liatrisspicata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542@0.11,0.113,0.329,0.784"
urn:cite:botcar:sloane.56,Catesby Specimen 56: Coreopsis lanceolata L.,urn:cite:botcar:species.Coreopsislanceolata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537@0.103,0.212,0.254,0.629"
