SpecimenURN,ScientificName,SpeciesURN,ImageURN,ROI
urn:cite:botcar:sloane.227,Catesby Specimen 227: Diospyros virginiana L.,urn:cite:botcar:species.Diospyrosvirginiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_002_0510,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_002_0510@0.109,0.0853,0.423,0.708"
urn:cite:botcar:sloane.2,Catesby Specimen 2: Diospyros virginiana L.,urn:cite:botcar:species.Diospyrosvirginiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_047_0613,""
urn:cite:botcar:sloane.278,Catesby Specimen 278: Leucothoe fontanesiana (Steud.) Sleumer,urn:cite:botcar:species.Leucothoefontanesiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496@0.713,0.0896,0.229,0.405"
urn:cite:botcar:sloane.369,Catesby Specimen 369: Ceratiola ericoides Michx.,urn:cite:botcar:species.Ceratiolaericoides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_031_0630,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_031_0630@0.698,0.311,0.174,0.564"
urn:cite:botcar:sloane.170,Catesby Specimen 170: Kalmia latifolia L.,urn:cite:botcar:species.Kalmialatifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_054_0603,""
urn:cite:botcar:sloane.384,Catesby Specimen 384: Oxydendrum arboreum (Linnaeus) A.P. de Candolle,urn:cite:botcar:species.Oxydendrumarboreum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_057_0599,""
urn:cite:botcar:sloane.232,Catesby Specimen 232: Vaccinium stamineum Linnaeus var. caesium (Greene) D.B. Ward,urn:cite:botcar:species.Vacciniumstamineum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445@0.307,0.657,0.621,0.25"
urn:cite:botcar:sloane.271,Catesby Specimen 271: Kalmia latifolia L.,urn:cite:botcar:species.Kalmialatifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442@0.635,0.62,0.318,0.279"
urn:cite:botcar:sloane.189,Catesby Specimen 189: Lyonia lucida (Lam.) K. Koch,urn:cite:botcar:species.Lyonialucida,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441@0.683,0.522,0.302,0.381"
urn:cite:botcar:sloane.309,Catesby Specimen 309: Oxydendrum arboreum (L.) DC.,urn:cite:botcar:species.Oxydendrumarboreum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_066_0440,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_066_0440@0.501,0.354,0.485,0.556"
urn:cite:botcar:sloane.350,Catesby Specimen 350: Eriocaulon decangulare L.,urn:cite:botcar:species.Eriocaulondecangulare,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_133_0524,""
urn:cite:botcar:sloane.22,Catesby Specimen 22: Eriocaulon decangulare L.,urn:cite:botcar:species.Eriocaulondecangulare,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456@0.0446,0.317,0.307,0.663"
urn:cite:botcar:sloane.282,Catesby Specimen 282: Eriocaulon decangulare L.,urn:cite:botcar:species.Eriocaulondecangulare,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_042_0455,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_042_0455@0.0521,0.0377,0.44,0.958"
urn:cite:botcar:sloane.228,Catesby Specimen 228: Cnidoscolus stimulosus (Michaux) Engelmann & A. Gray,urn:cite:botcar:species.Cnidoscolusstimulosus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476@0.0625,0.39,0.429,0.415"
urn:cite:botcar:sloane.252,Catesby Specimen 252: Chamaesyce sp.,urn:cite:botcar:species.Chamaesycesp,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470@0.336,0.0516,0.6,0.391"
urn:cite:botcar:sloane.250,Catesby Specimen 250: Chamaesyce sp.,urn:cite:botcar:species.Chamaesycesp,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462@0.324,0.552,0.622,0.379"
urn:cite:botcar:sloane.394,Catesby Specimen 394: Chamaesyce sp.,urn:cite:botcar:species.Chamaesycesp,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468@0.11,0.642,0.83,0.31"
urn:cite:botcar:sloane.351,Catesby Specimen 351: Stillingia sylvatica L. ssp. sylvatica,urn:cite:botcar:species.Stillingiasylvatica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458@0.382,0.0714,0.396,0.56"
urn:cite:botcar:sloane.295,Catesby Specimen 295: Tragia urticifolia Michx.,urn:cite:botcar:species.Tragiaurticifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_055_0465,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_055_0465@0.266,0.253,0.314,0.692"
urn:cite:botcar:sloane.242,Catesby Specimen 242: Stillingia sylvatica Garden ex Linnaeus ssp. sylvatica,urn:cite:botcar:species.Stillingiasylvatica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_065_0592,""
urn:cite:botcar:sloane.108,Catesby Specimen 108: Senna occidentalis (L.) Link,urn:cite:botcar:species.Sennaoccidentalis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507@0.199,0.482,0.753,0.425"
urn:cite:botcar:sloane.280,Catesby Specimen 280: Indigofera tinctoria L.,urn:cite:botcar:species.Indigoferatinctoria,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_106_0546,""
urn:cite:botcar:sloane.328,Catesby Specimen 328: Mimosa quadrivalvis L.,urn:cite:botcar:species.Mimosaquadrivalvis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_107_0547,""
urn:cite:botcar:sloane.335,Catesby Specimen 335: Baptisia tinctoria (L.) Ventenat,urn:cite:botcar:species.Baptisiatinctoria,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_108_0549,""
urn:cite:botcar:sloane.405,Catesby Specimen 405: Galactia regularis (L.) Britton,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_112_0543,""
urn:cite:botcar:sloane.311,Catesby Specimen 311: Orbexilum pedunculatum (P. Miller) Rydberg var. psoralioides (Walter) Isely,urn:cite:botcar:species.Orbexilumpedunculatum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538@0.39,0.217,0.313,0.584"
urn:cite:botcar:sloane.304,Catesby Specimen 304: Stylosanthes biflora (Linnaeus) Britton,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538@0.531,0.245,0.315,0.526"
urn:cite:botcar:sloane.28,Catesby Specimen 28: Tephrosia spicata (Walter) Torrey & A. Gray,urn:cite:botcar:species.Tephrosiaspicata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538@0.112,0.124,0.287,0.73"
urn:cite:botcar:sloane.193,Catesby Specimen 193: Orbexilum pedunculatum (P. Miller) Rydberg var. psoralioides (Walter) Isely,urn:cite:botcar:species.Orbexilumpedunculatum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_121_0535,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_121_0535@0.385,0.179,0.238,0.692"
urn:cite:botcar:sloane.88,Catesby Specimen 88: Apios americana Medikus,urn:cite:botcar:species.Apiosamericana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_138_0517,""
urn:cite:botcar:sloane.292,Catesby Specimen 292: Cercis canadensis L.,urn:cite:botcar:species.Cerciscanadensis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_002_0510,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_002_0510@0.421,0.241,0.534,0.66"
urn:cite:botcar:sloane.157,Catesby Specimen 157: Baptisia bracteata Elliott,urn:cite:botcar:species.Baptisiabracteata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490@0.116,0.0784,0.543,0.818"
urn:cite:botcar:sloane.407,Catesby Specimen 407: Orbexilum pedunculatum (P. Miller) Rydberg var. psoralioides (Walter) Isely,urn:cite:botcar:species.Orbexilumpedunculatum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489@0.512,0.0843,0.46,0.611"
urn:cite:botcar:sloane.18,Catesby Specimen 18: Baptisia tinctoria (L.) Ventenat,urn:cite:botcar:species.Baptisiatinctoria,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_028_0482,""
urn:cite:botcar:sloane.38,Catesby Specimen 38: Tephrosia spicata (Walter) Torr. & A. Gray,urn:cite:botcar:species.Tephrosiaspicata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_028_0631,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_028_0631@0.463,0.17,0.324,0.431"
urn:cite:botcar:sloane.201,Catesby Specimen 201: Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill,urn:cite:botcar:species.Hylodesmumglutinosum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_038_0473,""
urn:cite:botcar:sloane.12,Catesby Specimen 12: Pediomelum canescens (Michx.) Rydb.,urn:cite:botcar:species.Pediomelumcanescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_038_0614,""
urn:cite:botcar:sloane.223,Catesby Specimen 223: Phaseolus polystachios (L.) BSP,urn:cite:botcar:species.Phaseoluspolystachios,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_039_0479,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_039_0479@0.323,0.0754,0.624,0.664"
urn:cite:botcar:sloane.329,Catesby Specimen 329: Pediomelum canescens (Michx.) Rydb.,urn:cite:botcar:species.Pediomelumcanescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456@0.0938,0.0506,0.591,0.558"
urn:cite:botcar:sloane.206,Catesby Specimen 206: Lespedeza hirta (Linnaeus) Hornemann var. curtissii (Clewell) Isely,urn:cite:botcar:species.Lespedezahirta,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_044_0610,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_044_0610@0.44,0.135,0.432,0.712"
urn:cite:botcar:sloane.299,Catesby Specimen 299: Chamaecrista nictitans (Michx.) Greene,urn:cite:botcar:species.Chamaecristanictitans,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_046_0612,""
urn:cite:botcar:sloane.145,Catesby Specimen 145: Baptisia albescens Small,urn:cite:botcar:species.Baptisiaalbescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458@0.493,0.309,0.484,0.643"
urn:cite:botcar:sloane.39,Catesby Specimen 39: Baptisia albescens Small,urn:cite:botcar:species.Baptisiaalbescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459@0.449,0.317,0.539,0.625"
urn:cite:botcar:sloane.320,Catesby Specimen 320: Tephrosia virginiana (L.) Pers.,urn:cite:botcar:species.Tephrosiavirginiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_056_0466,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_056_0466@0.324,0.0655,0.275,0.88"
urn:cite:botcar:sloane.86,Catesby Specimen 86: Lupinus diffusus Nutt.,urn:cite:botcar:species.Lupinusdiffusus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437@0.144,0.0873,0.393,0.402"
urn:cite:botcar:sloane.321,Catesby Specimen 321: Lupinus villosus Willd.,urn:cite:botcar:species.Lupinusvillosus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437@0.244,0.599,0.693,0.302"
urn:cite:botcar:sloane.10,Catesby Specimen 10: Astragalus michauxii (Kuntze) F.J. Herm.,urn:cite:botcar:species.Astragalusmichauxii,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453@0.461,0.343,0.49,0.539"
urn:cite:botcar:sloane.424,Catesby Specimen 424: Baptisia perfoliata (L.) R. Br.,urn:cite:botcar:species.Baptisiaperfoliata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453@0.144,0.0853,0.412,0.71"
urn:cite:botcar:sloane.124,Catesby Specimen 124: Gleditsia aquatica Marsh.,urn:cite:botcar:species.Gleditsiaaquatica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444@0.19,0.0952,0.708,0.409"
urn:cite:botcar:sloane.116,Catesby Specimen 116: Astragalus michauxii (Kuntze) F.J. Herm.,urn:cite:botcar:species.Astragalusmichauxii,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_062_0452,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_062_0452@0.137,0.0893,0.314,0.696"
urn:cite:botcar:sloane.141,Catesby Specimen 141: Lespedeza hirta (Linnaeus) Hornemann var. curtissii (Clewell) Isely,urn:cite:botcar:species.Lespedezahirta,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_063_0593,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_063_0593@0.219,0.1,0.342,0.791"
urn:cite:botcar:sloane.188,Catesby Specimen 188: Amorpha glabra Desf. ex Poir.,urn:cite:botcar:species.Amorphaglabra,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442@0.179,0.443,0.528,0.471"
urn:cite:botcar:sloane.194,Catesby Specimen 194: Amorpha herbacea Walter,urn:cite:botcar:species.Amorphaherbacea,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441@0.164,0.259,0.521,0.65"
urn:cite:botcar:sloane.413,Catesby Specimen 413: Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill,urn:cite:botcar:species.Hylodesmumglutinosum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_070_0586,""
urn:cite:botcar:sloane.202,Catesby Specimen 202: Baptisia perfoliata (L.) R. Br.,urn:cite:botcar:species.Baptisiaperfoliata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_072_0584,""
urn:cite:botcar:sloane.244,Catesby Specimen 244: Senna occidentalis (L.) Link,urn:cite:botcar:species.Sennaoccidentalis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424@0.171,0.0962,0.753,0.509"
urn:cite:botcar:sloane.225,Catesby Specimen 225: Rhynchosia tomentosa (Linnaeus) Hooker & Arnott,urn:cite:botcar:species.Rhynchosiatomentosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572@0.521,0.142,0.311,0.6"
urn:cite:botcar:sloane.155,Catesby Specimen 155: Dalea pinnata (J.F. Gmel.) Barneby,urn:cite:botcar:species.Daleapinnata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_090_0421,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_090_0421@0.058,0.0744,0.463,0.914"
urn:cite:botcar:sloane.364,Catesby Specimen 364: Galactia volubilis (L.) Britton,urn:cite:botcar:species.Galactiavolubilis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414,""
urn:cite:botcar:sloane.366,Catesby Specimen 366: Lespedeza virginica (L.) Britton,urn:cite:botcar:species.Lespedezavirginica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_093_0415,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_093_0415@0.435,0.0972,0.522,0.86"
urn:cite:botcar:sloane.8,Catesby Specimen 8: Quercus michauxii Nutt.,urn:cite:botcar:species.Quercusmichauxii,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_014_0642,""
urn:cite:botcar:sloane.21,Catesby Specimen 21: Castanea pumila (L.) Mill,urn:cite:botcar:species.Castaneapumila,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_036_0622,""
urn:cite:botcar:sloane.391,Catesby Specimen 391: Quercus michauxii Nutt.,urn:cite:botcar:species.Quercusmichauxii,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503@0.332,0.298,0.625,0.63"
urn:cite:botcar:sloane.342,Catesby Specimen 342: Quercus phellos L.,urn:cite:botcar:species.Quercusphellos,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_077_0425,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_077_0425@0.0714,0.0754,0.844,0.455"
urn:cite:botcar:sloane.383,Catesby Specimen 383: Quercus incana Bartram,urn:cite:botcar:species.Quercusincana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_078_0433,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_078_0433@0.0744,0.558,0.734,0.383"
urn:cite:botcar:sloane.4,Catesby Specimen 4: Quercus laevis Walter,urn:cite:botcar:species.Quercuslaevis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_078_0433,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_078_0433@0.0699,0.0645,0.836,0.598"
urn:cite:botcar:sloane.175,Catesby Specimen 175: Quercus virginiana Mill.,urn:cite:botcar:species.Quercusvirginiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424@0.0432,0.408,0.765,0.568"
urn:cite:botcar:sloane.268,Catesby Specimen 268: Quercus laevis Walter,urn:cite:botcar:species.Quercuslaevis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_088_0566,""
urn:cite:botcar:sloane.233,Catesby Specimen 233: Quercus alba L.,urn:cite:botcar:species.Quercusalba,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_091_0565,""
urn:cite:botcar:sloane.239,Catesby Specimen 239: Quercus marilandica Muenchh.,urn:cite:botcar:species.Quercusmarilandica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_093_0567,""
urn:cite:botcar:sloane.420,Catesby Specimen 420: Quercus nigra L.,urn:cite:botcar:species.Quercusnigra,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_096_0562,""
urn:cite:botcar:sloane.55,Catesby Specimen 55: Quercus phellos L.,urn:cite:botcar:species.Quercusphellos,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_098_0558,""
urn:cite:botcar:sloane.373,Catesby Specimen 373: Sabatia difformis (Linnaeus) Druce,urn:cite:botcar:species.Sabatiadifformis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_105_0548,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_105_0548@0.534,0.113,0.274,0.685"
urn:cite:botcar:sloane.125,Catesby Specimen 125: Sabatia stellaris Pursh,urn:cite:botcar:species.Sabatiastellaris,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_128_0527,""
urn:cite:botcar:sloane.388,Catesby Specimen 388: Sabatia angularis (L.) Pursh,urn:cite:botcar:species.Sabatiaangularis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504@0.153,0.0833,0.375,0.666"
urn:cite:botcar:sloane.355,Catesby Specimen 355: Gentiana catesbaei Walter,urn:cite:botcar:species.Gentianacatesbaei,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_087_0417,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_087_0417@0.667,0.525,0.262,0.434"
urn:cite:botcar:sloane.97,Catesby Specimen 97: Lachnanthes caroliniana (Lamarck) Dandy,urn:cite:botcar:species.Lachnanthescaroliniana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_110_0551,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_110_0551@0.44,0.185,0.287,0.658"
urn:cite:botcar:sloane.238,Catesby Specimen 238: Hamamelis virginiana L.,urn:cite:botcar:species.Hamamelisvirginiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501@0.318,0.282,0.646,0.612"
urn:cite:botcar:sloane.63,Catesby Specimen 63: Philadelphus inodorus L.,urn:cite:botcar:species.Philadelphusinodorus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494@0.421,0.0794,0.577,0.573"
urn:cite:botcar:sloane.15,Catesby Specimen 15: Hydrangea arborescens L.,urn:cite:botcar:species.Hydrangeaarborescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_055_0465,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_055_0465@0.457,0.407,0.525,0.524"
urn:cite:botcar:sloane.65,Catesby Specimen 65: Hydrangea radiata Walter,urn:cite:botcar:species.Hydrangearadiata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_055_0601,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_055_0601@0.476,0.138,0.375,0.692"
urn:cite:botcar:sloane.177,Catesby Specimen 177: Hypericum crux-andreae (L.) Crantz,urn:cite:botcar:species.Hypericumcrux,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469@0.101,0.0516,0.899,0.532"
urn:cite:botcar:sloane.197,Catesby Specimen 197: Hypericum walteri J.G. Gmelin,urn:cite:botcar:species.Hypericumwalteri,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_076_0583,""
urn:cite:botcar:sloane.417,Catesby Specimen 417: Itea virginica L.,urn:cite:botcar:species.Iteavirginica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496@0.46,0.357,0.436,0.564"
urn:cite:botcar:sloane.376,Catesby Specimen 376: Itea virginica L.,urn:cite:botcar:species.Iteavirginica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_080_0577,""
urn:cite:botcar:sloane.117,Catesby Specimen 117: Carya tomentosa (Lamarck ex Poiret) Nuttall,urn:cite:botcar:species.Caryatomentosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509@0.132,0.0863,0.775,0.497"
urn:cite:botcar:sloane.105,Catesby Specimen 105: Carya tomentosa (Lamarck ex Poiret) Nuttall,urn:cite:botcar:species.Caryatomentosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_094_0560,""
urn:cite:botcar:sloane.180,Catesby Specimen 180: Carya tomentosa (Lamarck ex Poiret) Nuttall,urn:cite:botcar:species.Caryatomentosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_097_0563,""
urn:cite:botcar:sloane.11,Catesby Specimen 11: Juncus scirpoides Lam.,urn:cite:botcar:species.Juncusscirpoides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464@0.476,0.0645,0.265,0.662"
urn:cite:botcar:sloane.411,Catesby Specimen 411: Monarda punctata L.,urn:cite:botcar:species.Monardapunctata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_103_0552,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_103_0552@0.524,0.195,0.304,0.607"
urn:cite:botcar:sloane.26,Catesby Specimen 26: Physostegia purpurea (Walter) Blake,urn:cite:botcar:species.Physostegiapurpurea,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_121_0535,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_121_0535@0.0967,0.155,0.324,0.68"
urn:cite:botcar:sloane.31,Catesby Specimen 31: Lamiaceae,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_131_0525,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_131_0525@0.275,0.114,0.21,0.715"
urn:cite:botcar:sloane.249,Catesby Specimen 249: Pycnanthemum flexuosum (Walter) Britton,urn:cite:botcar:species.Pycnanthemumflexuosum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_137_0519,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_137_0519@0.487,0.16,0.292,0.677"
urn:cite:botcar:sloane.43,Catesby Specimen 43: Salvia lyrata L.,urn:cite:botcar:species.Salvialyrata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484@0.124,0.713,0.777,0.217"
