"speciesURN","scientificNameText",tsn
"urn:cite:botcar:species.Liatrissquarrulosa","Liatris squarrulosa Michx.",503447
"urn:cite:botcar:species.Liliumcatesbaei","Lilium catesbaei Walter",42735
"urn:cite:botcar:species.Liquidambarstyraciflua","Liquidambar styraciflua L.",19027
"urn:cite:botcar:species.Liriodendrontulipifera","Liriodendron tulipifera L.",18086
"urn:cite:botcar:species.Lithospermumcaroliniense","Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill.",31946
"urn:cite:botcar:species.Litseaaestivalis","Litsea aestivalis (L.) Fernald",18206
"urn:cite:botcar:species.Lobeliaelongata","Lobelia elongata Small",34506
"urn:cite:botcar:species.Lobeliapuberula","Lobelia puberula Michx.",34529
"urn:cite:botcar:species.Ludwigiapilosa","Ludwigia pilosa Walter",27360
"urn:cite:botcar:species.Ludwigiavirgata","Ludwigia virgata Michx.",27366
"urn:cite:botcar:species.Lupinusdiffusus","Lupinus diffusus Nutt.",26009
"urn:cite:botcar:species.Lupinusvillosus","Lupinus villosus Willd.",26142
"urn:cite:botcar:species.Lycopodiellaalopecuroides","Lycopodiella alopecuroides (L.) Cranfill",503603
"urn:cite:botcar:species.Lycopusvirginicus","Lycopus virginicus L.",32255
"urn:cite:botcar:species.Lyonialucida","Lyonia lucida (Lam.) K. Koch",23563
"urn:cite:botcar:species.Lysimachiaciliata","Lysimachia ciliata L.",23984
"urn:cite:botcar:species.Lysimachiafraseri","Lysimachia fraseri Duby",23989
"urn:cite:botcar:species.Lysimachiaquadrifolia","Lysimachia quadrifolia L.",23997
"urn:cite:botcar:species.Maianthemumracemosum","Maianthemum racemosum (L.) Link",503655
"urn:cite:botcar:species.Marshalliagraminifolia","Marshallia graminifolia (Walter) Small",38065
"urn:cite:botcar:species.Marshalliaobovata","Marshallia obovata (Walter) Beadle & F.E. Boynt. var. scaposa Channell",38069
"urn:cite:botcar:species.Mateleacarolinensis","Matelea carolinensis (Jacq.) Woodson",30369
"urn:cite:botcar:species.Medeolavirginiana","Medeola virginiana L.",42963
"urn:cite:botcar:species.Melanthiumhybridum","Melanthium hybridum Walter",516953
"urn:cite:botcar:species.Melothriapendula","Melothria pendula L.",22339
"urn:cite:botcar:species.Menispermumcanadense","Menispermum canadense L.",18871
"urn:cite:botcar:species.Metopiumtoxiferum","Metopium toxiferum",28805
"urn:cite:botcar:species.Mimosaquadrivalvis","Mimosa quadrivalvis L.",507073
"urn:cite:botcar:species.Monardapunctata","Monarda punctata L.",32279
"urn:cite:botcar:species.Morusrubra","Morus rubra L.",19070
"urn:cite:botcar:species.Nasturtiumofficinale","Nasturtium officinale R. Brown",23255
"urn:cite:botcar:species.Nolinageorgiana","Nolina georgiana Michx.",42991
"urn:cite:botcar:species.Nymphaeaodorata","Nymphaea odorata W.T. Aiton",18384
"urn:cite:botcar:species.Nyssaaquatica","Nyssa aquatica L.",27824
"urn:cite:botcar:species.Nyssasylvatica","Nyssa sylvatica L.",27821
"urn:cite:botcar:species.Oenotherafilipes","Oenothera filipes (Spach) W. L. Wagner & Hoch",836000
