"specimenURN","name"
"urn:cite:botcar:sloane.416","Catesby Specimen 416: Symphyotrichum concolor (L.) G.L. Nesom"
"urn:cite:botcar:sloane.217","Catesby Specimen 217: Trilisa paniculata (J.F. Gmelin) Cassini"
"urn:cite:botcar:sloane.323","Catesby Specimen 323: Athyrium asplenioides (Michaux) A.A. Eaton"
"urn:cite:botcar:sloane.326","Catesby Specimen 326: Impatiens capensis Meerburgh"
"urn:cite:botcar:sloane.347","Catesby Specimen 347: Impatiens capensis Meerburgh"
"urn:cite:botcar:sloane.306","Catesby Specimen 306: Podophyllum peltatum L."
"urn:cite:botcar:sloane.62","Catesby Specimen 62: Carpinus caroliniana Walter"
"urn:cite:botcar:sloane.285","Catesby Specimen 285: Ostrya virginiana?"
"urn:cite:botcar:sloane.80","Catesby Specimen 80: Catalpa bignonioides Walter"
"urn:cite:botcar:sloane.431","Catesby Specimen 431: Catalpa bignonioides Walter"
"urn:cite:botcar:sloane.229","Catesby Specimen 229: Woodwardia areolata (L.) T. Moore"
"urn:cite:botcar:sloane.45","Catesby Specimen 45: Onosmodium virginianum (Linnaeus) A. DC."
"urn:cite:botcar:sloane.319","Catesby Specimen 319: Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill."
"urn:cite:botcar:sloane.54","Catesby Specimen 54: Nasturtium officinale R. Brown"
"urn:cite:botcar:sloane.47","Catesby Specimen 47: Calycanthus floridus L."
"urn:cite:botcar:sloane.82","Catesby Specimen 82: Triodanis perfoliata (L.) Nieuwl."
"urn:cite:botcar:sloane.71","Catesby Specimen 71: Lobelia elongata Small"
"urn:cite:botcar:sloane.327","Catesby Specimen 327: Lobelia elongata Small"
"urn:cite:botcar:sloane.211","Catesby Specimen 211: Lobelia puberula Michx."
"urn:cite:botcar:sloane.160","Catesby Specimen 160: Silene virginica L."
"urn:cite:botcar:sloane.365",""
"urn:cite:botcar:sloane.419","Catesby Specimen 419: Clethra tomentosa Lamarck"
"urn:cite:botcar:sloane.259","Catesby Specimen 259: Clethra tomentosa Lamarck"
"urn:cite:botcar:sloane.13","Catesby Specimen 13: Commelina erecta L."
"urn:cite:botcar:sloane.192","Catesby Specimen 192: Commelina erecta L."
"urn:cite:botcar:sloane.281","Catesby Specimen 281: Calystegia catesbeiana Pursh"
"urn:cite:botcar:sloane.115","Catesby Specimen 115: Ipomoea"
"urn:cite:botcar:sloane.380","Catesby Specimen 380: Ipomoea coccinea L."
"urn:cite:botcar:sloane.198","Catesby Specimen 198: Cornus asperifolia Michx."
"urn:cite:botcar:sloane.231","Catesby Specimen 231: Cornus florida L"
"urn:cite:botcar:sloane.412","Catesby Specimen 412: Cornus florida L."
"urn:cite:botcar:sloane.341","Catesby Specimen 341: Melothria pendula L."
"urn:cite:botcar:sloane.316","Catesby Specimen 316: Taxodium distichum (L.) Rich."
"urn:cite:botcar:sloane.49","Catesby Specimen 49: Taxodium ascendens Brongn."
"urn:cite:botcar:sloane.234","Catesby Specimen 234: Taxodium ascendens Brongn."
"urn:cite:botcar:sloane.57","Catesby Specimen 57: Cyperus virens Michaux"
"urn:cite:botcar:sloane.312","Catesby Specimen 312: Carex glaucescens Elliott"
"urn:cite:botcar:sloane.112","Catesby Specimen 112: Carex glaucescens Elliott"
"urn:cite:botcar:sloane.361","Catesby Specimen 361: Fuirena squarrosa Michaux"
"urn:cite:botcar:sloane.168","Catesby Specimen 168: Rhynchospora fascicularis (Michaux) Vahl"
"urn:cite:botcar:sloane.353","Catesby Specimen 353: Cyperus echinatus (L.) Wood"
"urn:cite:botcar:sloane.334","Catesby Specimen 334: Rhynchospora glomerata (L.) Vahl"
"urn:cite:botcar:sloane.241","Catesby Specimen 241: Carex glaucescens Elliott"
"urn:cite:botcar:sloane.103","Catesby Specimen 103: Fuirena breviseta (Coville) Coville"
"urn:cite:botcar:sloane.91","Catesby Specimen 91: Rhynchospora colorata (L.) H. Pfeiffer"
"urn:cite:botcar:sloane.61","Catesby Specimen 61: Carex"
"urn:cite:botcar:sloane.254","Catesby Specimen 254: Eleocharis"
"urn:cite:botcar:sloane.403","Catesby Specimen 403: Cyperus echinatus (L.) Wood"
"urn:cite:botcar:sloane.100","Catesby Specimen 100: Scirpus cyperinus (L.) Kunth"
"urn:cite:botcar:sloane.84","Catesby Specimen 84: Cyrilla racemiflora L."
"urn:cite:botcar:sloane.109","Catesby Specimen 109: Cyrilla racemiflora L."
"urn:cite:botcar:sloane.81","Catesby Specimen 81: Dioscorea villosa L."
"urn:cite:botcar:sloane.377","Catesby Specimen 377: Polystichum acrostichoides (Michaux) Schott"
"urn:cite:botcar:sloane.99","Catesby Specimen 99: Polystichum acrostichoides (Michx.) Schott"
"urn:cite:botcar:sloane.227","Catesby Specimen 227: Diospyros virginiana L."
"urn:cite:botcar:sloane.2","Catesby Specimen 2: Diospyros virginiana L."
"urn:cite:botcar:sloane.278","Catesby Specimen 278: Leucothoe fontanesiana (Steud.) Sleumer"
"urn:cite:botcar:sloane.369","Catesby Specimen 369: Ceratiola ericoides Michx."
"urn:cite:botcar:sloane.170","Catesby Specimen 170: Kalmia latifolia L."
"urn:cite:botcar:sloane.384","Catesby Specimen 384: Oxydendrum arboreum (Linnaeus) A.P. de Candolle"
"urn:cite:botcar:sloane.232","Catesby Specimen 232: Vaccinium stamineum Linnaeus var. caesium (Greene) D.B. Ward"
"urn:cite:botcar:sloane.271","Catesby Specimen 271: Kalmia latifolia L."
"urn:cite:botcar:sloane.189","Catesby Specimen 189: Lyonia lucida (Lam.) K. Koch"
"urn:cite:botcar:sloane.309","Catesby Specimen 309: Oxydendrum arboreum (L.) DC."
"urn:cite:botcar:sloane.350","Catesby Specimen 350: Eriocaulon decangulare L."
"urn:cite:botcar:sloane.22","Catesby Specimen 22: Eriocaulon decangulare L."
"urn:cite:botcar:sloane.282","Catesby Specimen 282: Eriocaulon decangulare L."
"urn:cite:botcar:sloane.228","Catesby Specimen 228: Cnidoscolus stimulosus (Michaux) Engelmann & A. Gray"
"urn:cite:botcar:sloane.252","Catesby Specimen 252: Chamaesyce sp."
"urn:cite:botcar:sloane.250","Catesby Specimen 250: Chamaesyce sp."
"urn:cite:botcar:sloane.394","Catesby Specimen 394: Chamaesyce sp."
"urn:cite:botcar:sloane.351","Catesby Specimen 351: Stillingia sylvatica L. ssp. sylvatica"
"urn:cite:botcar:sloane.295","Catesby Specimen 295: Tragia urticifolia Michx."
"urn:cite:botcar:sloane.242","Catesby Specimen 242: Stillingia sylvatica Garden ex Linnaeus ssp. sylvatica"
