"genusURN","genusName",tsn
"urn:cite:botcar:genus.Rudbeckia","Rudbeckia",36764
"urn:cite:botcar:genus.Sabatia","Sabatia",30000
"urn:cite:botcar:genus.Saccharum","Saccharum",42054
"urn:cite:botcar:genus.Salvia","Salvia",32680
"urn:cite:botcar:genus.Sarracenia","Sarracenia",21992
"urn:cite:botcar:genus.Saururus","Saururus",18220
"urn:cite:botcar:genus.Scirpus","Scirpus",40225
"urn:cite:botcar:genus.Scutellaria","Scutellaria",32764
"urn:cite:botcar:genus.Selaginella","Selaginella",17064
"urn:cite:botcar:genus.Senna","Senna",500553
"urn:cite:botcar:genus.Sericocarpus","Sericocarpus",500905
"urn:cite:botcar:genus.Setaria","Setaria",41229
"urn:cite:botcar:genus.Seymeria","Seymeria",34042
"urn:cite:botcar:genus.Sida","Sida",21724
"urn:cite:botcar:genus.Silene","Silene",20040
"urn:cite:botcar:genus.Silphium","Silphium",38384
"urn:cite:botcar:genus.Smallanthus","Smallanthus",38418
"urn:cite:botcar:genus.Smilax","Smilax",43340
"urn:cite:botcar:genus.Solidago","Solidago",36223
"urn:cite:botcar:genus.Spermacoce","Spermacoce",35239
"urn:cite:botcar:genus.Spigelia","Spigelia",29960
"urn:cite:botcar:genus.Sporobolus","Sporobolus",42115
"urn:cite:botcar:genus.Stachys","Stachys",32310
"urn:cite:botcar:genus.Stillingia","Stillingia",28409
"urn:cite:botcar:genus.Stylosanthes","Stylosanthes",26972
"urn:cite:botcar:genus.Styrax","Styrax",23867
"urn:cite:botcar:genus.Symphyotrichum","Symphyotrichum",564906
"urn:cite:botcar:genus.Taxodium","Taxodium",18040
"urn:cite:botcar:genus.Tephrosia","Tephrosia",26981
"urn:cite:botcar:genus.Teucrium","Teucrium",32351
"urn:cite:botcar:genus.Thalictrum","Thalictrum",18658
"urn:cite:botcar:genus.Thaspium","Thaspium",29887
"urn:cite:botcar:genus.Tilia","Tilia",21535
"urn:cite:botcar:genus.Toxicodendron","Toxicodendron",28818
"urn:cite:botcar:genus.Tragia","Tragia",28424
"urn:cite:botcar:genus.Trautvetteria","Trautvetteria",18802
"urn:cite:botcar:genus.Triantha","Triantha",810146
"urn:cite:botcar:genus.Trichostema","Trichostema",32361
"urn:cite:botcar:genus.Trilisa","Trilisa",38576
"urn:cite:botcar:genus.Trillium","Trillium",43054
"urn:cite:botcar:genus.Triodanis","Triodanis",34609
"urn:cite:botcar:genus.Ulmus","Ulmus",19048
"urn:cite:botcar:genus.Uniola","Uniola",41315
"urn:cite:botcar:genus.Vaccinium","Vaccinium",23571
"urn:cite:botcar:genus.Vernonia","Vernonia",38615
"urn:cite:botcar:genus.Viola","Viola",22030
"urn:cite:botcar:genus.Vitis","Vitis",28606
"urn:cite:botcar:genus.Woodwardia","Woodwardia",17748
"urn:cite:botcar:genus.Xyris","Xyris",39096
"urn:cite:botcar:genus.Zizania","Zizania",41318
