speciesURN,scientificNameText,scientificNameFormatted,label,ipniID
urn:cite:botcar:species.Collinsoniatuberosa,Collinsonia tuberosa Michx.,Collinsonia tuberosa Michx.,Collinsonia tuberosa Michx.,"**Collinsonia tuberosa Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Commelinaerecta,Commelina erecta L.,Commelina erecta L.,Commelina erecta L.,"**Commelina erecta L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Coreopsisdelphiniifolia,Coreopsis delphiniifolia Lam.,Coreopsis delphiniifolia Lam.,Coreopsis delphiniifolia Lam.,"**Coreopsis delphiniifolia Lam.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Coreopsislanceolata,Coreopsis lanceolata L.,Coreopsis lanceolata L.,Coreopsis lanceolata L.,"**Coreopsis lanceolata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Coreopsismajor,Coreopsis major Walter var. major,Coreopsis major Walter var. major,Coreopsis major Walter var. major,"**Coreopsis major Walter var. major**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cornusasperifolia,Cornus asperifolia Michx.,Cornus asperifolia Michx.,Cornus asperifolia Michx.,"**Cornus asperifolia Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cornusflorida,Cornus florida L.,Cornus florida L.,Cornus florida L.,"**Cornus florida L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cteniumaromaticum,Ctenium aromaticum (Walter) Alph. Wood,Ctenium aromaticum (Walter) Alph. Wood,Ctenium aromaticum (Walter) Alph. Wood,"**Ctenium aromaticum (Walter) Alph. Wood**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cyperusechinatus,Cyperus echinatus (L.) Wood,Cyperus echinatus (L.) Wood,Cyperus echinatus (L.) Wood,"**Cyperus echinatus (L.) Wood**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cyperusvirens,Cyperus virens Michaux,Cyperus virens Michaux,Cyperus virens Michaux,"**Cyperus virens Michaux**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cyrillaracemiflora,Cyrilla racemiflora L.,Cyrilla racemiflora L.,Cyrilla racemiflora L.,"**Cyrilla racemiflora L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Daleapinnata,Dalea pinnata (J.F. Gmel.) Barneby,Dalea pinnata (J.F. Gmel.) Barneby,Dalea pinnata (J.F. Gmel.) Barneby,"**Dalea pinnata (J.F. Gmel.) Barneby**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Delphiniumcarolinianum,Delphinium carolinianum Walter,Delphinium carolinianum Walter,Delphinium carolinianum Walter,"**Delphinium carolinianum Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Dioscoreavillosa,Dioscorea villosa L.,Dioscorea villosa L.,Dioscorea villosa L.,"**Dioscorea villosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Diospyrosvirginiana,Diospyros virginiana L.,Diospyros virginiana L.,Diospyros virginiana L.,"**Diospyros virginiana L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Dyschoristeoblongifolia,Dyschoriste oblongifolia (Michx.) Kuntze,Dyschoriste oblongifolia (Michx.) Kuntze,Dyschoriste oblongifolia (Michx.) Kuntze,"**Dyschoriste oblongifolia (Michx.) Kuntze**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eleusineindica,Eleusine indica (L.) Gaertn.,Eleusine indica (L.) Gaertn.,Eleusine indica (L.) Gaertn.,"**Eleusine indica (L.) Gaertn.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Endodecaserpentaria,Endodeca serpentaria (Linnaeus) Rafinesque,Endodeca serpentaria (Linnaeus) Rafinesque,Endodeca serpentaria (Linnaeus) Rafinesque,"**Endodeca serpentaria (Linnaeus) Rafinesque**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Epifagusvirginiana,Epifagus virginiana (Linnaeus) W. Barton,Epifagus virginiana (Linnaeus) W. Barton,Epifagus virginiana (Linnaeus) W. Barton,"**Epifagus virginiana (Linnaeus) W. Barton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Erigeronquercifolius,Erigeron quercifolius Lam.,Erigeron quercifolius Lam.,Erigeron quercifolius Lam.,"**Erigeron quercifolius Lam.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Erigeronstrigosus,Erigeron strigosus Muhlenberg ex Willdenow,Erigeron strigosus Muhlenberg ex Willdenow,Erigeron strigosus Muhlenberg ex Willdenow,"**Erigeron strigosus Muhlenberg ex Willdenow**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eriocaulondecangulare,Eriocaulon decangulare L.,Eriocaulon decangulare L.,Eriocaulon decangulare L.,"**Eriocaulon decangulare L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
