LabelURN,Text,SpecimenURN,ImageURN,ROI
urn:cite:botcar:catesbyLabels.penLabel16.1,2. Smilax pubescens Mscr. 207,urn:cite:botcar:sloane.16,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_095_0409,""
urn:cite:botcar:catesbyLabels.penLabel375.1,2. Teucrium spiciferum Mscr. 114,urn:cite:botcar:sloane.375,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_037_0618,""
urn:cite:botcar:catesbyLabels.penLabel218.1,2. Uniola paniculata Linn.,urn:cite:botcar:sloane.218,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_056_0602,""
urn:cite:botcar:catesbyLabels.penLabel336.1,2. Uniola paniculata Linn.,urn:cite:botcar:sloane.336,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_103_0552,""
urn:cite:botcar:catesbyLabels.penLabel270.1,2. Veratrum longifolium Mscr. 209,urn:cite:botcar:sloane.270,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481,""
urn:cite:botcar:catesbyLabels.penLabel13.1,3 Commelina virginica L.,urn:cite:botcar:sloane.13,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437,""
urn:cite:botcar:catesbyLabels.penLabel23.1,3 Coreopsis stellata Mscr. 175,urn:cite:botcar:sloane.23,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472,""
urn:cite:botcar:catesbyLabels.penLabel298.1,3 Erigeron jamaicense Linn.,urn:cite:botcar:sloane.298,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457,""
urn:cite:botcar:catesbyLabels.penLabel11.1,3 Juncus globulus Mscr. 68,urn:cite:botcar:sloane.11,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464,""
urn:cite:botcar:catesbyLabels.penLabel171.1,3 Ludwigia villosa Mscr. 18,urn:cite:botcar:sloane.171,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470,""
urn:cite:botcar:catesbyLabels.penLabel74.1,3 Polygala cruciata Linn.,urn:cite:botcar:sloane.74,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485,""
urn:cite:botcar:catesbyLabels.penLabel43.1,3 Salvia lyrata Linn,urn:cite:botcar:sloane.43,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484,""
urn:cite:botcar:catesbyLabels.penLabel72.1,3 Sarracenia flava Linn.,urn:cite:botcar:sloane.72,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490,""
urn:cite:botcar:catesbyLabels.penLabel253.1,3 Sarracenia flava Linn.,urn:cite:botcar:sloane.253,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454,""
urn:cite:botcar:catesbyLabels.penLabel414.1,3 Scandix suaveolens Mscr. 62,urn:cite:botcar:sloane.414,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476,""
urn:cite:botcar:catesbyLabels.penLabel87.1,3. Asclepias nivea Linn.,urn:cite:botcar:sloane.87,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,""
urn:cite:botcar:catesbyLabels.penLabel266.1,3. Asclepias verticillata Linn.,urn:cite:botcar:sloane.266,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,""
urn:cite:botcar:catesbyLabels.penLabel101.1,3. Borlacea tenera. Mscr. 95,urn:cite:botcar:sloane.101,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494,""
urn:cite:botcar:catesbyLabels.penLabel185.1,3. Chrysocoma graminifolia Linn.,urn:cite:botcar:sloane.185,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502,""
urn:cite:botcar:catesbyLabels.penLabel118.1,3. Convallaria racemosa Linn.,urn:cite:botcar:sloane.118,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445,""
urn:cite:botcar:catesbyLabels.penLabel281.1,3. Convolvulus hederaceus Linn.,urn:cite:botcar:sloane.281,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477,""
urn:cite:botcar:catesbyLabels.penLabel81.1,3. Dioscorea verticillata Mscr. 207,urn:cite:botcar:sloane.81,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495,""
urn:cite:botcar:catesbyLabels.penLabel71.1,3. Lobelia Pedicularis Mscr. 188,urn:cite:botcar:sloane.71,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608,""
urn:cite:botcar:catesbyLabels.penLabel76.1,3. Nymphaea alba Linn.,urn:cite:botcar:sloane.76,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489,""
urn:cite:botcar:catesbyLabels.penLabel359.1,3. Pedicularis dissilimis Mscr. 119,urn:cite:botcar:sloane.359,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_019_0491,""
