genusURN,genusName,familyURN,tsnID,label
urn:cite:botcar:genus.Chrysopsis,Chrysopsis,urn:cite:botcar:family.Asteraceae,to be added,*Chrysopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cicuta,Cicuta,urn:cite:botcar:family.Apiaceae,to be added,*Cicuta*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Clematis,Clematis,urn:cite:botcar:family.Ranunculaceae,to be added,*Clematis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Clethra,Clethra,urn:cite:botcar:family.Clethraceae,to be added,*Clethra*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cnidoscolus,Cnidoscolus,urn:cite:botcar:family.Euphorbiaceae,to be added,*Cnidoscolus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cocculus,Cocculus,urn:cite:botcar:family.Menispermaceae,to be added,*Cocculus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Coelorachis,Coelorachis,urn:cite:botcar:family.Poaceae,to be added,*Coelorachis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Collinsonia,Collinsonia,urn:cite:botcar:family.Lamiaceae,to be added,*Collinsonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Commelina,Commelina,urn:cite:botcar:family.Commelinaceae,to be added,*Commelina*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Coreopsis,Coreopsis,urn:cite:botcar:family.Asteraceae,to be added,*Coreopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cornus,Cornus,urn:cite:botcar:family.Cornaceae,to be added,*Cornus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ctenium,Ctenium,urn:cite:botcar:family.Poaceae,to be added,*Ctenium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cyperus,Cyperus,urn:cite:botcar:family.Cyperaceae,to be added,*Cyperus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cyrilla,Cyrilla,urn:cite:botcar:family.Cyrillaceae,to be added,*Cyrilla*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Dalea,Dalea,urn:cite:botcar:family.Fabaceae,to be added,*Dalea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Delphinium,Delphinium,urn:cite:botcar:family.Ranunculaceae,to be added,*Delphinium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Dioscorea,Dioscorea,urn:cite:botcar:family.Dioscoreaceae,to be added,*Dioscorea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Diospyros,Diospyros,urn:cite:botcar:family.Ebenaceae,to be added,*Diospyros*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Dyschoriste,Dyschoriste,urn:cite:botcar:family.Acanthaceae,to be added,*Dyschoriste*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Echinochloa,Echinochloa,urn:cite:botcar:family.Poaceae,to be added,*Echinochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eleocharis,Eleocharis,urn:cite:botcar:family.Cyperaceae,to be added,*Eleocharis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eleusine,Eleusine,urn:cite:botcar:family.Poaceae,to be added,*Eleusine*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Endodeca,Endodeca,urn:cite:botcar:family.Aristolochiaceae,to be added,*Endodeca*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Epifagus,Epifagus,urn:cite:botcar:family.Orobanchaceae,to be added,*Epifagus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Erigeron,Erigeron,urn:cite:botcar:family.Asteraceae,to be added,*Erigeron*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eriocaulon,Eriocaulon,urn:cite:botcar:family.Eriocaulaceae,to be added,*Eriocaulon*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eriogonum,Eriogonum,urn:cite:botcar:family.Polygonaceae,to be added,*Eriogonum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eryngium,Eryngium,urn:cite:botcar:family.Apiaceae,to be added,*Eryngium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eupatorium,Eupatorium,urn:cite:botcar:family.Asteraceae,to be added,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eupatorium,Eupatorium,urn:cite:botcar:family.Asteraceae,to be added,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Euthamia,Euthamia,urn:cite:botcar:family.Asteraceae,to be added,*Euthamia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Eutrochium,Eutrochium,urn:cite:botcar:family.Asteraceae,to be added,*Eutrochium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Fraxinus,Fraxinus,urn:cite:botcar:family.Oleaceae,to be added,*Fraxinus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Fuirena,Fuirena,urn:cite:botcar:family.Cyperaceae,to be added,*Fuirena*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Gaillardia,Gaillardia,urn:cite:botcar:family.Asteraceae,to be added,*Gaillardia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Galactia,Galactia,urn:cite:botcar:family.Fabaceae,to be added,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Galactia,Galactia,urn:cite:botcar:family.Fabaceae,to be added,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Gamochaeta,Gamochaeta,urn:cite:botcar:family.Asteraceae,to be added,*Gamochaeta*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Gentiana,Gentiana,urn:cite:botcar:family.Gentianaceae,to be added,*Gentiana*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Geum,Geum,urn:cite:botcar:family.Rosaceae,to be added,*Geum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Glandularia,Glandularia,urn:cite:botcar:family.Verbenaceae,to be added,*Glandularia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
