familyURN,familyName,tsnID,label
urn:cite:botcar:family.Onagraceae,Onagraceae,to be added,*Onagraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Orchidaceae,Orchidaceae,to be added,*Orchidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Orobanchaceae,Orobanchaceae,to be added,*Orobanchaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Orobanchaceaenchaceae,Orobanchaceaenchaceae,to be added,*Orobanchaceaenchaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Osmundaceae,Osmundaceae,to be added,*Osmundaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Plantaginaceae,Plantaginaceae,to be added,*Plantaginaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Platanaceae,Platanaceae,to be added,*Platanaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Poaceae,Poaceae,to be added,*Poaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Podostemaceae,Podostemaceae,to be added,*Podostemaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Polemoniaceae,Polemoniaceae,to be added,*Polemoniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Polygalaceae,Polygalaceae,to be added,*Polygalaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
