SpecimenURN (Provisional)	ImageURN	Volume	Sheet	VersionName	Family	Michaux Name	Modern Name	Location	Annotations	Field 2	Type	Linnaean Class	Linneaen Genus	Linnaean Order	Flora
urn:cite2:botcar:michaux.2017a:17b_84	urn:cite2:fufolio:botcar.2017a:Michaux1877	17b	84	michx-Vol17b-84-23-03-34-14	Haloragaceae	Myriophyllum heterophyllum		Hab in Carolina, Georgia; in amne Santee; in Amne Ogechee				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_85	urn:cite2:fufolio:botcar.2017a:Michaux1878	17b	85	michx-Vol17b-85-23-03-34-36	Juglandaceae	Juglans nigra		New York le 10 May 1786	Grosse noix rond appellée ici Black Walnut			Monoecia		Polyandria	191
urn:cite2:botcar:michaux.2017a:17b_86	urn:cite2:fufolio:botcar.2017a:Michaux1879	17b	86	michx-Vol17b-86-23-03-34-48	Juglandaceae	Juglans regia		in media sylvis ad Mare Caspium				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_87	urn:cite2:fufolio:botcar.2017a:Michaux1880	17b	87	michx-Vol17b-87-23-03-34-58	Juglandaceae	Juglans nigra						Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_87a	urn:cite2:fufolio:botcar.2017a:Michaux1881	17b	87a	michx-Vol17b-87a-23-03-35-04											
urn:cite2:botcar:michaux.2017a:17b_87b	urn:cite2:fufolio:botcar.2017a:Michaux1882	17b	87b	michx-Vol17b-87b-23-03-35-07											
urn:cite2:botcar:michaux.2017a:17b_88	urn:cite2:fufolio:botcar.2017a:Michaux1883	17b	88	michx-Vol17b-88-23-03-35-17	Juglandaceae	Juglans cinerea						Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_89	urn:cite2:fufolio:botcar.2017a:Michaux1884	17b	89	michx-Vol17b-89-23-03-35-23	Juglandaceae	Juglans cinerea	Carya tomentosa?			Check these; 88 with cinera label?		Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_90	urn:cite2:fufolio:botcar.2017a:Michaux1885	17b	90	michx-Vol17b-90-23-03-35-31	Juglandaceae	Juglans cinerea	Carya tomentosa?					Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_91	urn:cite2:fufolio:botcar.2017a:Michaux1886	17b	91	michx-Vol17b-91-23-03-35-41	Juglandaceae	Juglans cinerea	Carya tomentosa?					Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_92	urn:cite2:fufolio:botcar.2017a:Michaux1887	17b	92	michx-Vol17b-92-23-03-35-49	Juglandaceae	Juglans cinerea	Carya tomentosa?					Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_93	urn:cite2:fufolio:botcar.2017a:Michaux1888	17b	93	michx-Vol17b-93-23-03-36-05	Juglandaceae	Juglans cinerea	Carya tomentosa?			Solft velvety back to leaves		Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_94	urn:cite2:fufolio:botcar.2017a:Michaux1890	17b	94	michx-Vol17b-94-23-03-36-40	Juglandaceae	Juglans pterocarpa		in humidis umbrosis juxta Auzely ad Mare Caspium; Mer Caspienne, in insula senseli; forets du Ghilan			Type	Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_94a	urn:cite2:fufolio:botcar.2017a:Michaux1891	17b	94a	michx-Vol17b-94a-23-03-36-45											
urn:cite2:botcar:michaux.2017a:17b_94b	urn:cite2:fufolio:botcar.2017a:Michaux1892	17b	94b	michx-Vol17b-94b-23-03-36-49											
urn:cite2:botcar:michaux.2017a:17b_94c	urn:cite2:fufolio:botcar.2017a:Michaux1893	17b	94c	michx-Vol17b-94c-23-03-36-54											
urn:cite2:botcar:michaux.2017a:17b_95	urn:cite2:fufolio:botcar.2017a:Michaux1894	17b	95	michx-Vol17b-95-23-03-37-18	Juglandaceae	Juglans pterocarpa						Monoecia		Polyandria	
